fecha_inicio_semana,proba_baja,proba_se_mantiene,proba_sube
2025-09-01,0.0,0.9853446868668553,0.014655313133144702
2025-09-08,0.0,0.9995450251788875,0.0004549748211124446
2025-09-15,0.0,0.9995717246198175,0.00042827538018248325
2025-09-22,0.0,0.9901450003659228,0.009854999634077188
2025-09-29,0.0,0.9919331487084726,0.00806685129152742
2025-10-06,0.0,0.9929710010395448,0.007028998960455223
2025-10-13,0.0,0.9907737532591018,0.009226246740898243
2025-10-20,0.0,0.9972729154958491,0.0027270845041509574
2025-10-27,0.0,0.9991230789940042,0.0008769210059957514
2025-11-03,0.0,0.9902054102656295,0.00979458973437056
2025-11-10,0.0,0.9383918450902186,0.06160815490978144
2025-11-17,0.0,0.998837215304946,0.0011627846950540096
2025-11-24,0.0,0.9986520332262736,0.0013479667737263815
2025-12-01,0.0,0.9934304404101756,0.006569559589824444
2025-12-08,0.0,0.9973959685128447,0.0026040314871553128
2025-12-15,0.0,0.8231340754585378,0.17686592454146222
2025-12-22,0.0,0.9999641787983888,3.582120161111133e-05
2025-12-29,0.0,0.999506081288722,0.0004939187112779814
2026-01-05,0.0,0.9998513971615978,0.0001486028384022397
2026-01-12,0.0,0.9997814173698418,0.00021858263015819222
2026-01-19,0.0,0.989610599639764,0.010389400360235942
2026-01-26,0.0,0.9999388676517438,6.113234825625815e-05
2026-02-02,0.0,0.98912125601859,0.010878743981410003
2026-02-09,0.0,0.9064185936616174,0.09358140633838259
