query_index,query,medio,termino,status,rss_items_detected,urls_resolved_ok,articles_attempted,articles_downloaded_ok,articles_downloaded_empty,articles_failed,duration_seconds
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""",success,1,1,1,1,0,0,4.364
2,"""gobierno de tampico"" site:oem.com.mx",site:oem.com.mx,"""gobierno de tampico""",success,2,2,2,2,0,0,9.316
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",success,20,20,20,20,0,0,73.361
4,"""Monica Villarreal"" site:milenio.com",site:milenio.com,"""Monica Villarreal""",success,7,7,7,7,0,0,28.18
