run_id,week_name,page_id,page_label,post_id,post_url,created_time,week_label,comment_count_post,selection_stage,selection_rule,selected_for_comment_sampling,selection_rank,processing_rank,status_extraccion,decision_reason,seed
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1495053352184554,https://www.facebook.com/reel/855266637549960/,2026-03-02T01:35:12+00:00,2026-03-03,62,selected_for_comment_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,True,1.0,8.0,selected_post_with_comments,Selected by temporal coverage rule and processed under page cap.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1495116142178275,https://www.facebook.com/monicavtampico/posts/pfbid0SWTGUWcG6t1vXju22UnoepAhXKatZLsVTmjNqtpZF6tUtNxC5qaPi6bThacrSPdnl,2026-03-02T03:24:46+00:00,2026-03-03,40,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1495489105474312,https://www.facebook.com/monicavtampico/posts/pfbid0AFruVHVTLtqdZVTQtcxufWm7QDXnvdQ5kDsAExabyxzWjVBbBoKLf6z34bgAUn4xl,2026-03-02T14:31:49+00:00,2026-03-03,35,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1495667715456451,https://www.facebook.com/monicavtampico/posts/pfbid02r4ta6JbLGjpjiEXWDbAdsEXpCpPCA3pigB3ac4TXYDVcWVSBFcVXuXjxqAK3tCuZl,2026-03-02T19:14:47+00:00,2026-03-03,52,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1495684045454818,https://www.facebook.com/monicavtampico/posts/pfbid02Urrc8RNcCsqSYKJ6j7wajEmjBwfveaK88hgCXGuKrekfNeNYYmRffBKvWTG9qNsZl,2026-03-02T19:45:26+00:00,2026-03-03,35,selected_for_comment_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,True,2.0,7.0,selected_post_with_comments,Selected by temporal coverage rule and processed under page cap.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1495866055436617,https://www.facebook.com/monicavtampico/posts/pfbid0iTF8dU4hhLch5qW2parkhSktFgAT9EfFyKALGCSsz1Jj5LHMrcyhKfKbUoPjwFZyl,2026-03-03T01:37:31+00:00,2026-03-03,25,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1496254978731058,https://www.facebook.com/reel/2127465241422168/,2026-03-03T14:21:47+00:00,2026-03-03,35,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1496339982055891,https://www.facebook.com/reel/1617433752734274/,2026-03-03T16:50:26+00:00,2026-03-03,309,selected_for_comment_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,True,3.0,6.0,selected_post_with_comments,Selected by temporal coverage rule and processed under page cap.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1496391425384080,https://www.facebook.com/monicavtampico/posts/pfbid0C3W3mcjaNGnSbRM5U33jK5B3m8TCScvLhzTFExqtjxbSnYg5YVVYSpFaf9sXXv3xl,2026-03-03T18:23:59+00:00,2026-03-03,76,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
fb_w10_backfill_fix,2026-03-02_semana_02marzo_08marzo_26,964877296876825,MonicaVillarreal,1496526582037231,https://www.facebook.com/monicavtampico/posts/pfbid0a4Agkoay1VJMMepJrUrqBmwqvDRUjGLELxa6h6qws5Hda5fkxCw6a1roPcXARREJl,2026-03-03T23:34:15+00:00,2026-03-03,64,candidate_rejected_by_sampling,temporal_even_spacing_by_created_time_with_seed_tiebreak,False,,,not_selected_due_sampling,Excluded by temporal even-spacing sampling before comments actor.,42
