query_index,query,medio,termino,article_title,article_url_original,article_url_resolved,status,resolution_strategy,cache_hit_url_resolution,error_type,error_detail
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",La historia de la familia detras de La Jaibita: la salsa de los mariscos en Tampico - El Sol de México,https://news.google.com/rss/articles/CBMiywFBVV95cUxPZy1GTUZZU3N2Y2ZldXlDcUlBUjRHR2l0b3dGMTJ5Q2tDQ0UxRTNUVWhEWGJrNWZ5cVRYSmNaMDNfeVVxMnBBd0xWbm5QaVNDR2xLZk5pMHBrTElmRVNSUjNPTUs0cVZZVFlGZUFHTWwwWlJYeEM5M1VrVzJlRU1qMUIwMTF4WXhvaEw1UXExUWQzZ19sblFNTVZ2TWJ3OTl0UGFHV2RreWxzMnVYTlVaV0pEcEU3WHppenB0bTR4NElSd2Q5R2ZMejQtbw?oc=5,https://oem.com.mx/elsoldetampico/local/la-historia-de-la-familia-detras-de-la-jaibita-la-salsa-de-los-mariscos-en-tampico-29200644,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Rodando X Tamaulipas: el ciclista que recorrió 43 municipios - El Sol de México,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQ2lNdVlqUkhuRXI0dkRrd3VlRVNFbU04ajBvRWFaNU82WDNINHVWZlllWFRUMllLUWFXVjNZY0RzbnRFT0FyTy0tbFFyNzlXU2hGLS1GVTBQMDIwNnM3Ujd2eWpvdExSYXpBQzZxN1FISks5UENqSHltSzg1b09MLW1HbzBXYmtvbG9QLVc2RXVvaG5jZmd2ZW51Q3ZyUlZLcTkzdnVpaERfZXVjdm1CNU9QSnNDN2FESENfUW9ObU1sbm5CU3J2dQ?oc=5,https://oem.com.mx/elsoldetampico/deportes/rodando-x-tamaulipas-el-ciclista-que-recorrio-los-43-municipios-de-tamaulipas-29240195,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Transformarán la histórica Plaza Galeana de la colonia Tinaco: tendrá canchas nuevas y kiosco remodelado - El Sol de México,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNX0JKZURJTF9KZG9STjlHTWdyc2tnR1hCWlF1S1JiajJfMG8xTldyb1BCMGhJaXdwNHUzWTRoS2xNdVBKUktONEVDLTdLeUJPWGxrNmNIVHZ6VjNKVzJZN1gwSjAwb19yS1FHVmw3bGZmU3JyUERaRFRyZ083U29za0NKWm9vRjdNUnlLNlR5TGtaNTBsdldIZ2ZJQUNKRERNRU5scDZBMFZUY3FPWGpRSzR6aUxvSi1XdkZDLTJldWVhZHUtQXNJbGlSeWZOZFM0TFAtbjNRNmZGdEx4QS1TTFFtVHVCTzg?oc=5,https://oem.com.mx/elsoldetampico/local/transformaran-la-historica-plaza-galeana-de-la-colonia-tinaco-tendra-canchas-nuevas-y-kiosco-remodelado-29116317,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Cartelera de las playas en Tamaulipas: conciertos y ambiente familiar en Semana Santa 2026 - El Sol de México,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVUVGT0VrazIxczd4NGhOc3NhN3BiakhETWg3LXI1MnRxSE9MSTRMdHdScHY3OFJqTWJLYWNxdjluOFE3cmQzWFpFLTJqUUlkbXJPbF83QmVtQklRWmlGd2JsdEZmNTFhWWNET2xqMEEtZmZUejgtamF5NmR6LTY4ai05TEk2RlZnNWV5T3FhN0ZkQllUQjdxcUt4aWRUNUVkVmRwM2VyUWJKbmMtTjBMTjV6M0VBMldIUG5uOGo4X2lzWm1KdXdhRndwMjdOTXZGb2JkZElVTQ?oc=5,https://oem.com.mx/elsoldetampico/turismo/cartelera-de-las-playas-en-tamaulipas-conciertos-y-ambiente-familiar-en-semana-santa-2026-29201767,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Carretera Mante-Ocampo-Tula de Tamaulipas será estrenada por turistas en Semana Santa 2026 - El Sol de México,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOYjlxemxHOVdXSjctYlhxWUdlWG1FSXZxWjVKdGZHQWFJMlBla2UxeXhKYmpvXzl4MkxkeTVpWkRXUmc5b0puOFJLQWJ4ZExUYkZMWXJTSW1XY3RvbmRfQjdTajJnRnpVancxWEJ1MmJ3LTV3VnprWS13VGVsRU1EOHdQeGh1QmJMRG9pOEJMeEkyQmlCSG4zQTg4eDNTX3owVmtWNFFDN0JaMDExT0FkbTdtQTh4eEZLQ3hrbHAtNFktSl9qekRkdUpNTHBHcWp4ZHMtaWJ0R2I?oc=5,https://oem.com.mx/elsoldetampico/turismo/carretera-mante-ocampo-tula-de-tamaulipas-sera-estrenada-por-turistas-en-semana-santa-2026-29163845,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",“No es justo pagar por entrar a nuestro municipio”: ciudadanía exige el retiro de la caseta del Puente de Pánuco - El Sol de México,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQOTc1bWRuLWd2X0ZXZVFEQktCbWdyYURTWjcyRHQzcnFkdVNZQmRRZ1g3TllQTHAxODcyNlNCTU9lMUdhNzlKUGdHMElkQXVrUExZbUEwYmQ2dlJWYTU5bm1TNnlGY1dRN1JnQVY3SkxuWVdmU1R0TVhtcEhSdFZ5dnNJX3k4TGJZMEN0bE1Qa3dmTzBRSTZ1ZlFOTk5nckRPS2dWRHdrTVpwZEYyN3djc0g2VW0xX1lCNXl6TEtzaXpJN3ZKTFpaelNvSzlGeDJZdlIyRUpVc291RUUzaXd2Wnh3RktQWmZPR0xlMndJQQ?oc=5,https://oem.com.mx/elsoldetampico/local/no-es-justo-pagar-por-entrar-a-nuestro-municipio-ciudadania-exige-el-retiro-de-la-caseta-del-puente-de-panuco-29100769,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¡Tampico y Altamira conquistan la CDMX! Relanzan puertos en la cumbre logística más grande de México - El Sol de México,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQbTRHOENzdUpDUUZvaGxEdmJzT19DYThYbVRiOVVUNnhDSTFra0ZMYTNSNzNURXlDVS1mQnozclBCNGNZRjZaUnBUMlhwMV9aMkhlLVFoSFJCZE1fMEtQTUV0TGFjc3U0OGdYbDhNWWs1VmV0QVlXN2ppVTVaNDhpaXJwWG5kakFWMzhCUHc0aGF1eFNfNG5ybnZyQXFxdEVkay1XX0tRamdGVFByalV0V1I0OHRuZm9uZ1VMcndLOFBsZEYyNTB0UnJPQ0ZIeDhCZlhtQ3hhTzduX3VwNkFlU1pTbXc?oc=5,https://oem.com.mx/elsoldetampico/finanzas/tampico-y-altamira-conquistan-la-cdmx-relanzan-puertos-en-la-cumbre-logistica-mas-grande-de-mexico-29063624,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¡Sabor a Cuba en Playa Miramar! El nuevo rincón que con su comida y bebidas conquista a los turistas - El Sol de México,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOOWpzQ05VMERiYk96dEVMVFhwOXNNS1ZCUl9MeUV4MGJIZFNuVVYyTDJLQ1BJVlVaaUdHZ09SRDhaWWVtR0lfZ09hOFFNOVU3UWJaNEpEaGdRcnA1b2ZtaVllQjkxR1BTZ1NaS1R2MDdCbE1ocV9ScjZlX0dsZ1hsWkp5ZGZRLTAwcTZyekxLX2dINjI1ZGtqeXAzMV9oVjZIU2kwS082NXh1WjVhc0IyWXJYTUo4Zjl5dWdZRXlaVmQ0bXk0TE9McmVaOUo1Y3BzbC1wYkhMT2RJUlNBRWJfbGpFVQ?oc=5,https://oem.com.mx/elsoldetampico/turismo/sabor-a-cuba-en-playa-miramar-el-nuevo-rincon-que-con-su-comida-y-bebidas-conquista-a-los-turistas-29234907,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Domingo de accidentes: muere motociclista en la carretera Tampico-Mante tras brutal choque - El Sol de México,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOc0dWV3NrWVpBQ18wWUZORVVqZmR1SWVNOVNYV1Bob2Q0eGl3b01sTnBaakp6Qk4yV29WR2h0b2dZeEktaHJtM05yYzZYb05LZThKLXJxbWxNWmRFWFZHVHM5NkFpRGhaRUFKQW9vVkotVk5UenRxaU93VHNSLXpIY3d2ME5KWlM1V2N3MWNoaWV2MkNDaUhTWVdlUVZWYzFCWXV0MEUydTJCTFJxakNmQVczci10VF9WczRxckl4djNaejlCRVJUamtjWWhHMUNkLS1pbGY0RjhlUQ?oc=5,https://oem.com.mx/elsoldetampico/policiaca/domingo-de-accidentes-muere-motociclista-en-la-carretera-tampico-mante-tras-brutal-choque-29233846,success,google_batchexecute,False,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",No se hacen daño: Atlético La Paz empata con el campeón y asegura liguilla en Liga de Expansión - El Sol de México,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQUjJzTEs2aGlzeXlaODBYVDRuWHMzaHVvV0NJRHF1MGpjYkQwaVpyN2R0WkNsNk0yaXdPNFNZbUNtYjFURGNCSU5tMDlWaUJfdkQwc0R3QlJwNC1pTFRseGVGVG9Jenk0Y3NmbG5veXBPWlJxQlJCUmRENGxyaW1LZ1EyX1huQTgyeE40ZUpHRUZNYXN6d2hGdVVrSV9aY1RnS2V3NDVqay1OanM4N3pLQW85UjRselctb01ieGdSQ0Z3OGRwNmtGY3R4cE5rdFdoMzJSVjlVaDllQmNmeEZnX2ZiUQ?oc=5,https://oem.com.mx/elsudcaliforniano/deportes/no-se-hacen-dano-atletico-la-paz-empata-con-el-campeon-y-asegura-liguilla-en-liga-de-expansion-29218359,success,google_batchexecute,False,,
