horizonte_sem,outer_fold_index,column_name,non_null_train_count,nunique_train_non_null
1,2,hist_loss_local_mean4_E3_v2_clean,10,10
1,2,hist_loss_local_mean4_E5_v4_clean,10,10
1,2,hist_loss_local_mean4_E7_v3_clean,10,10
1,2,y_current,13,13
1,2,caida_pred_E1_v5_clean,11,2
1,2,caida_pred_E2_v3_clean,13,2
1,2,caida_pred_E3_v2_clean,11,2
1,2,caida_pred_E5_v4_clean,11,2
1,2,caida_pred_E7_v3_clean,11,2
1,2,direccion_pred_E1_v5_clean,11,2
1,2,direccion_pred_E2_v3_clean,13,2
1,2,direccion_pred_E3_v2_clean,11,2
1,2,direccion_pred_E5_v4_clean,11,2
1,2,direccion_pred_E7_v3_clean,11,2
1,2,pred_E1_v5_clean,11,11
1,2,pred_E2_v3_clean,13,13
1,2,pred_E3_v2_clean,11,11
1,2,pred_E5_v4_clean,11,11
1,2,pred_E7_v3_clean,11,11
1,2,pred_disponible_E1_v5_clean,13,2
1,2,pred_disponible_E3_v2_clean,13,2
1,2,pred_disponible_E5_v4_clean,13,2
1,2,pred_disponible_E7_v3_clean,13,2
1,3,cobertura_modelos_fila,14,2
1,3,consenso_direccion,14,2
1,3,desacuerdo_direccion,14,2
1,3,desviacion_predicciones,14,13
1,3,dispersion_direccion,14,3
1,3,max_diff_predicciones,14,13
1,3,max_predicciones,14,14
1,3,mediana_predicciones,14,14
1,3,min_predicciones,14,14
1,3,n_direcciones_distintas,14,2
1,3,n_modelos_disponibles,14,2
1,3,numero_modelos_predicen_caida,14,5
1,3,promedio_predicciones,14,14
1,3,rango_predicciones,14,13
1,3,share_modelos_predicen_caida,14,5
1,3,ctx_abs_delta_1w,14,14
1,3,ctx_delta_1w,14,14
1,3,ctx_delta_2w,14,14
1,3,ctx_mean_delta_4w,14,14
1,3,ctx_negative_delta_ratio_4w,14,2
1,3,ctx_positive_delta_ratio_4w,14,2
1,3,ctx_recent_fall_flag,14,2
1,3,ctx_rolling_mean_4w,14,14
1,3,ctx_rolling_std_4w,14,14
1,3,ctx_sentimiento_medios,14,14
1,3,ctx_trend_vs_ma4,14,14
1,3,ctx_v5_dispersion_neta,14,14
1,3,ctx_v5_promedio_neto,14,14
1,3,ctx_y_lag1,14,14
1,3,ctx_y_lag2,14,14
1,3,ctx_y_lag4,14,14
1,3,hist_abs_error_mean4_E1_v5_clean,11,11
1,3,hist_abs_error_mean4_E2_v3_clean,13,13
1,3,hist_abs_error_mean4_E3_v2_clean,11,11
1,3,hist_abs_error_mean4_E5_v4_clean,11,11
1,3,hist_abs_error_mean4_E7_v3_clean,11,11
1,3,hist_caida_hit_mean4_E1_v5_clean,9,3
1,3,hist_caida_hit_mean4_E2_v3_clean,12,3
1,3,hist_caida_hit_mean4_E3_v2_clean,9,3
1,3,hist_caida_hit_mean4_E5_v4_clean,9,3
1,3,hist_caida_hit_mean4_E7_v3_clean,9,3
1,3,hist_dir_acc_mean4_E1_v5_clean,11,3
1,3,hist_dir_acc_mean4_E2_v3_clean,13,4
1,3,hist_dir_acc_mean4_E3_v2_clean,11,3
1,3,hist_dir_acc_mean4_E5_v4_clean,11,3
1,3,hist_dir_acc_mean4_E7_v3_clean,11,5
1,3,hist_loss_local_mean4_E1_v5_clean,11,11
1,3,hist_loss_local_mean4_E2_v3_clean,13,13
