fecha_inicio_semana,y_true,y_pred_base
2025-09-01,0.244150207322864,0.11978020196276791
2025-09-08,0.0353374615739687,0.2029833873018232
2025-09-15,0.037083177521204,0.17493808398564942
2025-09-22,0.0408302409621366,-0.020138913496515295
2025-09-29,-0.0316621893348032,0.09345366636299073
2025-10-06,0.167412720914919,0.11432933909411645
2025-10-13,0.134823580717908,0.046321393309260175
2025-10-20,0.170657905569605,0.05392061885049526
2025-10-27,0.0692562741764684,0.06188650853277499
2025-11-03,0.218016998769719,0.0814066323329094
2025-11-10,0.12751595957534,0.095277501032659
2025-11-17,0.279605962079427,0.12846760047641212
2025-11-24,0.0821158156091689,0.13358132665287506
2025-12-01,0.303813076524669,0.2244522973438382
2025-12-08,0.0677012815654136,0.20040157909436523
2025-12-15,0.583621878201202,0.1815628380425717
2025-12-22,0.108341978085893,0.1475697106769913
2025-12-29,0.0687870202028637,0.15451281472988967
2026-01-05,0.245426229585526,0.09724669175917267
2026-01-12,0.320565191490885,0.11409094931905556
2026-01-19,0.170007405822799,0.18402620203708278
2026-01-26,-0.0198367240853288,0.20236278474653813
2026-02-02,0.0960196886446368,0.1336453208264202
2026-02-09,0.27725068164164,0.19023594662704527
2026-02-16,0.210058588277401,0.21433372316520027
