run_id,family,model,target_mode,feature_mode,transform_mode,lags,feature_count_prom,L_total_Radar,observacion_breve,status_run,H1_mae,H1_rmse,H1_direction_accuracy,H1_deteccion_caidas,H1_loss,H2_mae,H2_rmse,H2_direction_accuracy,H2_deteccion_caidas,H2_loss,H3_mae,H3_rmse,H3_direction_accuracy,H3_deteccion_caidas,H3_loss,H4_mae,H4_rmse,H4_direction_accuracy,H4_deteccion_caidas,H4_loss,mae_promedio,rmse_promedio,direction_accuracy_promedio,deteccion_caidas_promedio
E1_v1,lineal_regularizado,RidgeCV,nivel,all,standard,"1,2,3,4",59.0,0.261061299229139,Retrointegrado desde metricas_horizonte.json para persistir resumen numerico.,completo,0.10852221541951192,0.1364781165293461,0.8214285714285714,0.7692307692307693,0.07279160695480741,0.1032017187254528,0.13166083917368818,0.5925925925925926,0.5833333333333334,0.0856254664348249,0.10562980370976718,0.1371961916014883,0.8461538461538461,0.8333333333333334,0.06514141515107132,0.10199430017859773,0.13564278503884808,0.72,0.8,0.03750281068843544,0.1048370095083324,0.1352444830858427,0.7450437525437525,0.746474358974359
E1_v2,lineal_regularizado,RidgeCV,nivel,all,standard,"1,2,3,4",59.0,0.261061299229139,Familia lineal regularizada con RidgeCV | transform_mode=standard. | L_total_Radar=0.261061,completo,0.10852221541951192,0.1364781165293461,0.8214285714285714,0.7692307692307693,0.07279160695480741,0.1032017187254528,0.13166083917368818,0.5925925925925926,0.5833333333333334,0.0856254664348249,0.10562980370976718,0.1371961916014883,0.8461538461538461,0.8333333333333334,0.06514141515107132,0.10199430017859773,0.13564278503884808,0.72,0.8,0.03750281068843544,0.1048370095083324,0.1352444830858427,0.7450437525437525,0.746474358974359
E1_v2_clean,lineal_regularizado,ridge_tscv,nivel,all,standard,"1,2,3,4",59.0,0.2612386698909632,Ridge clean con tuning interno TimeSeriesSplit | metric=mae | L_total_Radar=0.261239,completo,0.10881974353336672,0.1340214097591685,0.8214285714285714,0.7692307692307693,0.07498523812807274,0.10151669126022934,0.12902048071566982,0.5925925925925926,0.5833333333333334,0.08445991151314503,0.10072026460520947,0.13035147851543902,0.8461538461538461,0.8333333333333334,0.06430358814858943,0.10184336704401831,0.1355117907704749,0.72,0.8,0.03748993210115598,0.103225016610706,0.1322262899401881,0.7450437525437525,0.746474358974359
E1_v3_clean,lineal_regularizado,ridge_tscv,delta,all,standard,"1,2,3,4",59.0,0.3980475726547684,Ridge clean con tuning interno TimeSeriesSplit | metric=mae | L_total_Radar=0.398048,completo,0.16334368695171117,0.2045576753399985,0.2857142857142857,0.5384615384615384,0.13963331285932473,0.14019404393266274,0.1810362691606062,0.5185185185185185,0.5,0.09702043148253928,0.16270651598416505,0.19536944540712933,0.5384615384615384,0.6666666666666666,0.1127663360384959,0.1286528780560598,0.16116541054097094,0.6,0.7,0.048627492274408504,0.1487242812311497,0.1855322001121762,0.4856735856735857,0.6012820512820511
E1_v4_clean,lineal_regularizado,ridge_tscv,nivel,corr,standard,"1,2,3,4",21.0,0.2532774442495118,Ridge clean con tuning interno TimeSeriesSplit | metric=mae | L_total_Radar=0.253277,completo,0.10656001415024512,0.13459516973036686,0.8571428571428571,0.8461538461538461,0.06400894945334344,0.1006704790781292,0.12945613836134034,0.5925925925925926,0.5833333333333334,0.08433957105604481,0.1019490001557397,0.13168380148673728,0.8076923076923077,0.8333333333333334,0.06739789079736938,0.10232505643445063,0.1358552189498907,0.72,0.8,0.03753103294275419,0.1028761374546412,0.1328975821320838,0.7443569393569394,0.7657051282051281
E1_v5_clean,lineal_regularizado,ridge_tscv,nivel,corr,standard,"1,2,3,4,5,6",30.0,0.2434417610666145,Ridge clean con tuning interno TimeSeriesSplit | metric=mae | L_total_Radar=0.243442,completo,0.10059878213883112,0.13285198162060796,0.8076923076923077,0.8333333333333334,0.0648597798923889,0.10372566410383356,0.1364839721702182,0.68,0.7,0.07150090301855463,0.10354245003076323,0.13719070084687093,0.7916666666666666,0.8181818181818182,0.0681811812488503,0.10218095741888153,0.13952205416045635,0.6956521739130435,0.7777777777777778,0.038899896906820594,0.1025119634230774,0.1365121771995384,0.7437527870680044,0.7823232323232323
E2_v1_clean,robusto,huber_tscv,nivel,corr,standard,"1,2,3,4,5,6",30.0,0.3019073236793116,Huber limpio con tuning interno TimeSeriesSplit | metric=mae | L_total_Radar=0.301907,completo,0.1136342110145291,0.14928805020169947,0.7692307692307693,0.8333333333333334,0.06881508264217079,0.12190343546587838,0.14660925205635586,0.52,0.7,0.0870859772600323,0.15929487060441136,0.20591212900910172,0.7083333333333334,0.8181818181818182,0.08394549255496986,0.1918791541695755,0.26334283272599307,0.5217391304347826,0.5555555555555556,0.06206077122213859,0.1466779178135986,0.1912880659982875,0.6298258082497213,0.7267676767676767
E2_v2_clean,robusto,huber_tscv,nivel,corr,standard,"1,2,3,4,5,6",30.0,0.3019203219833318,Huber limpio con tuning interno TimeSeriesSplit | hipotesis=control_de_convergencia | metric=mae | L_total_Radar=0.301920,completo,0.11371037910375427,0.1491199728508273,0.7692307692307693,0.8333333333333334,0.06882808094619103,0.12190343546587838,0.14660925205635586,0.52,0.7,0.0870859772600323,0.15929487060441136,0.20591212900910172,0.7083333333333334,0.8181818181818182,0.08394549255496986,0.1918791541695755,0.26334283272599307,0.5217391304347826,0.5555555555555556,0.06206077122213859,0.1466969598359049,0.1912460466605695,0.6298258082497213,0.7267676767676767
E2_v3_clean,robusto,huber_tscv,nivel,corr,standard,"1,2,3,4",21.0,0.2864645117875421,Huber limpio con tuning interno TimeSeriesSplit | hipotesis=prueba_sin_memoria_larga | metric=mae | L_total_Radar=0.286465,completo,0.11973231481856207,0.14998504738968366,0.75,0.8461538461538461,0.07107826910979893,0.11357591815037527,0.14797139581443086,0.6666666666666666,0.75,0.06927671489480554,0.14190969316691623,0.16312896589900636,0.6538461538461539,0.5833333333333334,0.10912114442096608,0.14343013895273915,0.16712694232733905,0.76,0.9,0.036988383361971515,0.1296620162721482,0.157053087857615,0.707628205128205,0.7698717948717949
E3_v1_clean,arboles_boosting,random_forest_regressor,nivel,corr,none,"1,2,3,4,5,6",30.0,0.2808923211670988,Random Forest limpio con walk-forward temporal | hipotesis=baseline_no_lineal_corr_memoria_larga | sin escalado por naturaleza basada en arboles | L_total_Radar=0.280892,completo,0.10613741394538688,0.1328844909113693,0.7307692307692307,0.75,0.08013188645507538,0.10707760421550809,0.1342516027711331,0.6,0.6,0.08422758488835515,0.10790504828721688,0.13655513687075455,0.8333333333333334,0.8181818181818182,0.06830067121876297,0.10242340858431445,0.14266237155078745,0.6521739130434783,0.5555555555555556,0.04823217860490524,0.1058858687581066,0.1365884005260111,0.7040691192865105,0.6809343434343436
