horizonte_sem,threshold_abs,rows_total,count_baja,count_se_mantiene,count_sube,pct_baja,pct_se_mantiene,pct_sube,max_class_share,min_extreme_share,imbalance_ratio_extremes
1,0.1,72,23,28,21,0.3194444444444444,0.3888888888888889,0.2916666666666667,0.3888888888888889,0.2916666666666667,1.0952380952380951
1,0.15,72,16,41,15,0.2222222222222222,0.5694444444444444,0.20833333333333334,0.5694444444444444,0.20833333333333334,1.0666666666666667
1,0.2,72,7,58,7,0.09722222222222222,0.8055555555555556,0.09722222222222222,0.8055555555555556,0.09722222222222222,1.0
1,0.25,72,5,62,5,0.06944444444444445,0.8611111111111112,0.06944444444444445,0.8611111111111112,0.06944444444444445,1.0
1,0.3,72,5,64,3,0.06944444444444445,0.8888888888888888,0.041666666666666664,0.8888888888888888,0.041666666666666664,1.6666666666666667
1,0.4,72,1,68,3,0.013888888888888888,0.9444444444444444,0.041666666666666664,0.9444444444444444,0.013888888888888888,3.0
1,0.5,72,0,71,1,0.0,0.9861111111111112,0.013888888888888888,0.9861111111111112,0.0,13888888.888888888
2,0.1,71,15,37,19,0.2112676056338028,0.5211267605633803,0.2676056338028169,0.5211267605633803,0.2112676056338028,1.2666666666666666
2,0.15,71,12,44,15,0.16901408450704225,0.6197183098591549,0.2112676056338028,0.6197183098591549,0.16901408450704225,1.25
2,0.2,71,11,49,11,0.15492957746478872,0.6901408450704225,0.15492957746478872,0.6901408450704225,0.15492957746478872,1.0
2,0.25,71,10,53,8,0.14084507042253522,0.7464788732394366,0.11267605633802817,0.7464788732394366,0.11267605633802817,1.25
2,0.3,71,7,61,3,0.09859154929577464,0.8591549295774648,0.04225352112676056,0.8591549295774648,0.04225352112676056,2.333333333333333
2,0.4,71,2,69,0,0.028169014084507043,0.971830985915493,0.0,0.971830985915493,0.0,28169014.08450704
2,0.5,71,1,70,0,0.014084507042253521,0.9859154929577465,0.0,0.9859154929577465,0.0,14084507.04225352
3,0.1,70,20,31,19,0.2857142857142857,0.44285714285714284,0.2714285714285714,0.44285714285714284,0.2714285714285714,1.0526315789473684
3,0.15,70,13,45,12,0.18571428571428572,0.6428571428571429,0.17142857142857143,0.6428571428571429,0.17142857142857143,1.0833333333333333
3,0.2,70,10,50,10,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.14285714285714285,1.0
3,0.25,70,6,59,5,0.08571428571428572,0.8428571428571429,0.07142857142857142,0.8428571428571429,0.07142857142857142,1.2000000000000002
3,0.3,70,4,61,5,0.05714285714285714,0.8714285714285714,0.07142857142857142,0.8714285714285714,0.05714285714285714,1.25
3,0.4,70,1,66,3,0.014285714285714285,0.9428571428571428,0.04285714285714286,0.9428571428571428,0.014285714285714285,3.0
3,0.5,70,0,68,2,0.0,0.9714285714285714,0.02857142857142857,0.9714285714285714,0.0,28571428.571428567
4,0.1,69,16,36,17,0.2318840579710145,0.5217391304347826,0.2463768115942029,0.5217391304347826,0.2318840579710145,1.0625
4,0.15,69,12,47,10,0.17391304347826086,0.6811594202898551,0.14492753623188406,0.6811594202898551,0.14492753623188406,1.2
4,0.2,69,11,51,7,0.15942028985507245,0.7391304347826086,0.10144927536231885,0.7391304347826086,0.10144927536231885,1.5714285714285712
4,0.25,69,8,57,4,0.11594202898550725,0.8260869565217391,0.057971014492753624,0.8260869565217391,0.057971014492753624,2.0
4,0.3,69,5,60,4,0.07246376811594203,0.8695652173913043,0.057971014492753624,0.8695652173913043,0.057971014492753624,1.25
4,0.4,69,0,68,1,0.0,0.9855072463768116,0.014492753623188406,0.9855072463768116,0.0,14492753.623188404
4,0.5,69,0,69,0,0.0,1.0,0.0,1.0,0.0,0.0
