"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1274917260864832/964877296876825_1272600094429882";"26";"1";"1";"964877296876825_1272600094429882";"data";"data.*";"fetched (200)";"2025-11-14 08:25:39.435838";"Facebook:/<page-id>/posts";"Encabecé la tercera etapa de capacitación sobre el nuevo sistema georreferenciado del INEGI, una herramienta que permitirá a las y los tampiqueños acceder fácilmente a los servicios municipales, con información clara, actualizada y a su alcance. Me llena de orgullo compartir que somos el primer municipio en Tamaulipas en aprobar esta implementación.  Agradezco la presencia de la presidenta del Sistema DIF Tampico Luz Adriana Villarreal Anaya, José Luis Celestino Fernández, secretario técnico del ayuntamiento, del coordinador estatal del INEGI en Tamaulipas, Rigoberto Beltrán Sarabia y Consuelo Wilson, representante del INEGI en Tampico, así como secretarios, directores y enlaces de las dependencias municipales.";"2025-05-27T22:39:42+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1272600094429882/964877296876825_1272600094429882";"900";"26";"2";"964877296876825_1272600094429882";"data";"data.*";"fetched (200)";"2025-11-14 08:27:09.140127";"Facebook:/<post-id>/comments";"Genial";"2025-05-27T23:05:05+0000";"0";"0";""
"964877296876825_1274917260864832/474462132406835_122157274562546197";"135";"2";"1";"474462132406835_122157274562546197";"data";"data.*";"fetched (200)";"2025-11-14 08:25:43.710187";"Facebook:/<page-id>/posts";"";"2025-05-28T20:51:59+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1274106604279231";"13";"1";"1";"964877296876825_1274106604279231";"data";"data.*";"fetched (200)";"2025-11-14 08:25:39.435838";"Facebook:/<page-id>/posts";"Gracias al trabajo conjunto con el Instituto Registral y Catastral del Estado de Tamaulipas, llevamos un 54% de avance en el proyecto de vuelo fotogramétrico, herramienta clave para la modernización de nuestro catastro municipal. Hasta hoy, se han cubierto más de 27 km² en zonas como el sur, Campanario y el centro de la ciudad.  Este proyecto nos permitirá contar con información precisa y actualizada para una mejor planeación urbana y servicios públicos más eficientes.  Mañana recibiremos la tercera entrega parcial de fotografía aérea y seguimos trabajando para lograr el 100% del levantamiento.  ¡Vamos por un Tampico con más orden, desarrollo y futuro! 🌆";"2025-05-29T22:44:09+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1274106604279231/964877296876825_1274106604279231";"590";"13";"2";"964877296876825_1274106604279231";"data";"data.*";"fetched (200)";"2025-11-14 08:27:02.192466";"Facebook:/<post-id>/comments";"🙌🏻🙌🏻🙌🏻🙌🏻";"2025-05-29T22:56:55+0000";"0";"0";""
"964877296876825_1274917260864832/474462132406835_1272650121091546";"139";"2";"1";"474462132406835_1272650121091546";"data";"data.*";"fetched (200)";"2025-11-14 08:25:43.710187";"Facebook:/<page-id>/posts";"Recibí  11 escrituras de la colonia Solidaridad, Voluntad y Trabajo por parte del Ing. Germán Fernández Guzmán, Coordinador de Delegaciones de ITAVU en el estado. Este logro forma parte del compromiso del Arq. Manuel Guillermo Treviño Cantú, Director General del Instituto Tamaulipeco de Vivienda y Urbanismo, de avanzar en la regularización de áreas verdes y de equipamiento en diversas colonias de nuestro municipio. Atendiendo las instrucciones de nuestro gobernador el Dr. Américo Villarreal Anaya de otorgar certeza jurídica al patrimonio municipal.  Seguimos trabajando de la mano con el Gobierno del Estado para brindar seguridad y bienestar.🙌🏻";"2025-05-28T04:03:07+0000";"";"";""
"964877296876825_1274917260864832/474462132406835_1272650121091546/474462132406835_1272650121091546";"3181";"139";"2";"474462132406835_1272650121091546";"data";"data.*";"fetched (200)";"2025-11-14 08:46:05.506710";"Facebook:/<post-id>/comments";"Que bien";"2025-05-28T00:42:17+0000";"0";"0";""
"TampicoGob/474462132406835_1272650121091546/474462132406835_1272650121091546";"3181";"139";"2";"474462132406835_1272650121091546";"data";"data.*";"fetched (200)";"2025-11-14 08:46:05.506710";"Facebook:/<post-id>/comments";"Que bien";"2025-05-28T00:42:17+0000";"0";"0";""
"964877296876825_1274917260864832/964877296876825_1274012737621951";"15";"1";"1";"964877296876825_1274012737621951";"data";"data.*";"fetched (200)";"2025-11-14 08:25:39.435838";"Facebook:/<page-id>/posts";"¡Feliz cumpleaños, Susana Carolina Pineda Chávez!✨ Que este día esté lleno de alegría, salud y momentos especiales junto a tus seres queridos.🙌🏻";"2025-05-29T19:15:40+0000";"";"";""
"964877296876825_1274917260864832/964877296876825_1274012737621951/964877296876825_1274012737621951";"651";"15";"2";"964877296876825_1274012737621951";"data";"data.*";"fetched (200)";"2025-11-14 08:27:04.335541";"Facebook:/<post-id>/comments";"";"2025-05-29T19:20:50+0000";"0";"0";""
"964877296876825_1274917260864832/474462132406835_122157592754546197";"122";"2";"1";"474462132406835_122157592754546197";"data";"data.*";"fetched (200)";"2025-11-14 08:25:43.710187";"Facebook:/<page-id>/posts";"";"2025-05-31T04:30:11+0000";"";"";""
