"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"964877296876825_1187239946299231/964877296876825_1169292548093971/964877296876825_1169292548093971";"1352";"77";"2";"964877296876825_1169292548093971";"data";"data.*";"fetched (200)";"2025-11-14 08:12:06.574596";"Facebook:/<post-id>/comments";"excelente fiesta para ni�os y grandes, gracias a todos quienes hicieron posible este gran evento";"1/6/25 2:15";"";"";""
"monicavtampico/964877296876825_1169292548093971/964877296876825_1169292548093971";"1352";"77";"2";"964877296876825_1169292548093971";"data";"data.*";"fetched (200)";"2025-11-14 08:12:06.574596";"Facebook:/<post-id>/comments";"excelente fiesta para ni�os y grandes, gracias a todos quienes hicieron posible este gran evento";"1/6/25 2:15";"";"";""
"964877296876825_1187239946299231/474462132406835_122129569610546197";"200";"2";"1";"474462132406835_122129569610546197";"data";"data.*";"fetched (200)";"2025-11-14 08:11:01.812105";"Facebook:/<page-id>/posts";"M�s ciudadanos cumplen e invitan a aprovechar el descuento del 15% en el pago del impuesto predial  Pagos con atenci�n en ventanillas del �rea de ingresos del Palacio Municipal de lunes a viernes de 8:00 a 18:00 horas y los s�bados de 9:00 a 14:00 horas.   Adem�s, los adultos mayores con credencial del INAPAM reciben descuentos adicionales, y los pagos pueden realizarse en l�nea a trav�s de https://tampico.gob.mx o en la Delegaci�n municipal de la zona Norte.  #TampicoVaConTodos #PredialTampico2025";"1/3/25 21:54";"";"";""
"964877296876825_1187239946299231/474462132406835_122129569610546197/474462132406835_122129569610546197";"1995";"200";"2";"474462132406835_122129569610546197";"data";"data.*";"fetched (200)";"2025-11-14 08:12:54.209186";"Facebook:/<post-id>/comments";"Habiliten el pago en l�nea porque no me deja pagar en l�nea y los tel�fonos no contestan";"1/7/25 20:36";"";"";""
"TampicoGob/474462132406835_122129569610546197/474462132406835_122129569610546197";"1995";"200";"2";"474462132406835_122129569610546197";"data";"data.*";"fetched (200)";"2025-11-14 08:12:54.209186";"Facebook:/<post-id>/comments";"Habiliten el pago en l�nea porque no me deja pagar en l�nea y los tel�fonos no contestan";"1/7/25 20:36";"";"";""
"964877296876825_1187239946299231/474462132406835_122130152882546197";"192";"2";"1";"474462132406835_122130152882546197";"data";"data.*";"fetched (200)";"2025-11-14 08:11:01.812105";"Facebook:/<page-id>/posts";"�Atenci�n, Tampico! Ante la presencia de vientos fuertes, por la entrada del frente fr�o no. 21 de la temporada que ingresar� durante el transcurso del lunes, ocasionar� un cambio dr�stico en las condiciones del tiempo; presencia de evento Norte"" con r�fagas de viento entre los 45-65 km/h y velocidades de 70-90 km/h en el Golfo de M�xico.   Te compartimos las siguientes recomendaciones por parte de la Direcci�n de Protecci�n Civil Tampico para protegerte a ti y a tu familia:   Asegura ventanas, puertas y toldos.  Resguarda los objetos que puedan volar y causar alg�n da�o.  Evita transitar cerca de �rboles, cables de luz o estructuras que puedan caer.  No subas a lugares altos y expuestos al viento, como andamios o escaleras.  � La prevenci�n es clave para mantenernos seguros. Comparte esta informaci�n con tus seres queridos y mantente al tanto de los reportes oficiales.  #TampicoTeCuida #Protecci�nCivil #Recomendaciones";"1/6/25 1:27";"";"";""
"964877296876825_1187239946299231/474462132406835_122130322214546197";"188";"2";"1";"474462132406835_122130322214546197";"data";"data.*";"fetched (200)";"2025-11-14 08:11:01.812105";"Facebook:/<page-id>/posts";"� �Atenci�n, vecinos de Tampico! 1  Reciclemos juntos los pinos de Navidad. Lleva tu �rbol a los centros de acopio distribuidos en el municipio y evitemos depositarlos en los contenedores de basura. � Cuidemos el medio ambiente y promovamos un Tampico m�s limpio y sostenible. �Tu participaci�n hace la diferencia!  #ReciclajeNavide�o #TampicoTeCuida";"1/6/25 19:54";"";"";""
"964877296876825_1187239946299231/964877296876825_1167804028242823";"83";"1";"1";"964877296876825_1167804028242823";"data";"data.*";"fetched (200)";"2025-11-14 08:10:58.109103";"Facebook:/<page-id>/posts";"Este viernes tuve la oportunidad de visitar las oficinas de ingresos del municipio para supervisar personalmente las operaciones y saludar a los ciudadanos que acudieron a cumplir con el pago del impuesto predial.  Fue muy grato conversar tanto con los contribuyentes como con el equipo que atiende este importante tr�mite, reiterando nuestro compromiso de ofrecer un servicio eficiente, �gil y transparente.   Extiendo la invitaci�n a todas y todos los tampique�os a aprovechar el 15% de descuento en el pago del impuesto predial durante todo el mes de enero. Seguiremos trabajando para garantizar procesos accesibles que fortalezcan la confianza de todas y todos en este gobierno municipal.  #TampicoVaConTodos";"1/3/25 19:16";"";"";""
"964877296876825_1187239946299231/964877296876825_1167804028242823/964877296876825_1167804028242823";"1453";"83";"2";"964877296876825_1167804028242823";"data";"data.*";"fetched (200)";"2025-11-14 08:12:10.859152";"Facebook:/<post-id>/comments";"LA LICENCIADA MONICA LO PROMETIO CERCANA A LA GENTE ESTE AYUNTAMIENTO DE PUERTAS ABIERTAS AQUI ELLA LO QUE MUCHOS NUNCA HICIERON PARA MUESTRA UN BOTON FELICIDADES LICENCIADA MONICA VILLARREAL ANAYA CUMPLIENDOO";"1/3/25 19:34";"";"";""
"monicavtampico/964877296876825_1167804028242823/964877296876825_1167804028242823";"1453";"83";"2";"964877296876825_1167804028242823";"data";"data.*";"fetched (200)";"2025-11-14 08:12:10.859152";"Facebook:/<post-id>/comments";"LA LICENCIADA MONICA LO PROMETIO CERCANA A LA GENTE ESTE AYUNTAMIENTO DE PUERTAS ABIERTAS AQUI ELLA LO QUE MUCHOS NUNCA HICIERON PARA MUESTRA UN BOTON FELICIDADES LICENCIADA MONICA VILLARREAL ANAYA CUMPLIENDOO";"1/3/25 19:34";"";"";""
