fecha_inicio_semana,y_true,y_pred_base
2025-09-01,0.0353374615739687,0.15607648102863686
2025-09-08,0.037083177521204,0.1068102295924872
2025-09-15,0.0408302409621366,0.09070596573960372
2025-09-22,-0.0316621893348032,0.0655587238038847
2025-09-29,0.167412720914919,0.10811402100253877
2025-10-06,0.134823580717908,0.10118918988696973
2025-10-13,0.170657905569605,0.06711218563085974
2025-10-20,0.0692562741764684,0.0690856362159176
2025-10-27,0.218016998769719,0.09439474989035654
2025-11-03,0.12751595957534,0.130902458163828
2025-11-10,0.279605962079427,0.12013195982668352
2025-11-17,0.0821158156091689,0.14060587882028006
2025-11-24,0.303813076524669,0.1283233718813382
2025-12-01,0.0677012815654136,0.17348103841751508
2025-12-08,0.583621878201202,0.1546678217602256
2025-12-15,0.108341978085893,0.13210761688459946
2025-12-22,0.0687870202028637,0.10297172909186397
2025-12-29,0.245426229585526,0.12293541668834077
2026-01-05,0.320565191490885,0.11834904738354382
2026-01-12,0.170007405822799,0.11190348194096529
2026-01-19,-0.0198367240853288,0.14673088185385333
2026-01-26,0.0960196886446368,0.1491727133293537
2026-02-02,0.27725068164164,0.14416566469245964
2026-02-09,0.210058588277401,0.1736492666661199
