post_url,comentario_texto,autor,fecha_comentario,likes_comentario,es_respuesta,url_comentario
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Como dijo el buky, te extraño mas que nunca y no se que hacer...
Regresa a tomar el timón del barco tampiqueño Chucho Nader la gente te extraña y si primero Dios tomas el de Tamaulipas no te olvides del puerto jaibo. Saludos y excelente fin de semana",Daniel Sanchez,2026-02-28T15:31:42.000Z,263,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Chucho Nader primero que nada, muy buen provecho y en segunda, aliméntate bien y agarra fuerzas porque ya es momento de que vuelva a BRILLAR Tampico!!! Ánimo!! Hay que sacar toda esa basura de color guinda!!!",Fer VR,2026-02-28T15:34:53.000Z,196,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Regrese don chucho ala presidencia y le hago descuento en su próxima crv,Gerardo Infante,2026-02-28T16:15:41.000Z,70,False,https://www.facebook.com/reel/1665120821323986/?comment_id=900957449459775
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Sea lo que sea ese Chucho la vdd que hizo que Brillara Tampico.,Cesar Antonio Bolado Cañas,2026-02-28T16:32:45.000Z,53,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1424701052440202
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Eso mi presi eso... Los baños de pueblo y a usted si le creo que es raza. Vamos a ir a probar esos tacos.  Un saludo presi y futuro gober.
Cuántos aquí apollamos a Chucho Nader  #migallo 🐓",Rodolfo Ponce Carrizales,2026-02-28T15:31:56.000Z,73,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1912381919386560
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Ese cab..ron a pesar de ser de cuna de seda es una persoba muy sencilla, me consta, lo salude 2 veces diferentes en el AICM y siempre muy sencillo contestaba y yo con mi camisa del Tampico Madero me dijo ""arriba la jaiba"", en otra ocasión el me tomó una foto (le pedí el favor) de mi  con otra reconocida  persona en el mercado municipal de Tampico...es pueblo, es sencillo ymuy chambeador....",Gonzalez Augusto,2026-02-28T22:22:10.000Z,19,False,https://www.facebook.com/reel/1665120821323986/?comment_id=990818423887704
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Ya me antojaste 😋Chucho Nader Provechito 😋 
Estás en mis rumbos y jamás lo he probado, por ahí iré por unos de barbacoa 😋",Marisol Estrada Martos,2026-02-28T15:35:38.000Z,4,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1573833843900874
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Ya se me antojaron mi Chucho,Ranchos de Hoy,2026-03-01T04:21:38.000Z,5,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1428871722351260
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Provecho mi próximo gobernadora. Le encargó una playera de la jaiba 😅🙏,Raul Silva,2026-02-28T15:26:19.000Z,47,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1310592404233456
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Y de ahí a la gubernatura!! Saludos Chucho,Mike Oscord,2026-02-28T15:32:02.000Z,53,False,https://www.facebook.com/reel/1665120821323986/?comment_id=924655547168431
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Marisol Estrada Martos te los recomiendo,saludos.",Chucho Nader,2026-03-02T14:43:34.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1573833843900874&reply_comment_id=1167205058673602
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Marisol Estrada Martos chúpasela,Victor A Mariño,2026-03-02T22:39:05.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1573833843900874&reply_comment_id=949450791084823
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Fer VR la vdd,Sofy Ibarra,2026-02-28T16:12:17.000Z,6,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=4160980174152206
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Fer VR exacto fuera morena,Francisco Reyes Mendoza,2026-02-28T16:16:22.000Z,16,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=889534590539748
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Fer VR queremos que Tampico vuelva a brillar nesesitanos a chucho,Montes Montes Francisco,2026-02-28T16:40:01.000Z,15,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=1296449375669550
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Fer VR 🙏,Nora Castillo Gonzalez,2026-02-28T20:36:39.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=1582591176125743
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Francisco Reyes Mendoza exacto qué se quede morena o como era.,Rubén Rodriguez,2026-03-01T01:42:34.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=1689313015770917
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Rubén Rodriguez jajaja que se laaaaargue MORENA FUERA,Francisco Reyes Mendoza,2026-03-01T02:39:27.000Z,3,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=1231871585757267
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Francisco Reyes Mendoza NO PANCHO QUE SE QUEDE MORENA POR SIEMPRE.,Rubén Rodriguez,2026-03-01T13:07:37.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=4271104366491807
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Francisco Reyes Mendoza esq no es morena es la persona nunca digamos que es el partido político es la persona yo no soy de ningún partido pero chucho me late para gobernador,Juan Carlos Cobos Parrilla,2026-03-01T18:03:17.000Z,2,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=1720884579322190
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,"Fer VR si,que regrese pero.....",Francky Ortiz,2026-03-02T09:30:42.000Z,2,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=926374783675716
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Juan Carlos Cobos Parrilla cuando estuvo en el IMSS lo dejo bien ( sarcasmo) de dónde salió para invertir en el equipo.,Francky Ortiz,2026-03-02T09:32:29.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=896144156618434&reply_comment_id=1002957692393532
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Mike Oscord 🙏,Luisa Hernandez,2026-03-01T04:16:03.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=924655547168431&reply_comment_id=1454805733018877
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Mike Oscord saludos Mike,Chucho Nader,2026-03-02T14:42:28.000Z,2,False,https://www.facebook.com/reel/1665120821323986/?comment_id=924655547168431&reply_comment_id=26217727777860881
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Lindo y bendecido día provechito disfruta. Bendiciones saludos chucho,Maribel Martinez,2026-02-28T16:21:03.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1912381919386560&reply_comment_id=2754958008184208
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Rodolfo Ponce Carrizales 🥰🥰🥰🥰,Auro Flores,2026-02-28T19:49:02.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1912381919386560&reply_comment_id=780819627946011
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Rodolfo Ponce Carrizales y el mío también.,Maryan Martinez D,2026-03-10T20:07:28.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1912381919386560&reply_comment_id=1418053086791072
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Daniel Sanchez y las arcas del municipio  imprescindible!!!.,Juan Guzman,2026-02-28T17:37:26.000Z,4,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=905668565511955
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Juan Guzman se las regalamos pero que vuelva!!,Alvz Silva Chanys,2026-02-28T20:24:46.000Z,4,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=925399603368674
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Alvz Silva Chanys A ROBAR.Y HACER CASAS DE CONDOMINIOS,Javier Perez,2026-02-28T21:51:11.000Z,2,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=1545445773761303
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Ya andan perreando el voto jajaja...,Rafael Herrera,2026-02-28T22:25:56.000Z,3,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=2130264774375703
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Javier Perez estamos hablando de Chucho no de !!! Monica Ratareal....!!!,Alvz Silva Chanys,2026-03-01T02:52:54.000Z,3,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=1899814607561059
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Daniel Sanchez no sea lambizcon,Ramiro Tampic,2026-03-01T13:21:24.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=1713672569659114
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Siempre sale solo en sus comerciales,Ramiro Tampic,2026-03-01T13:22:05.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=895146853349773
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Si exactamente mamá lo comento en aquellos ayeres,Rbto A. Cllo,2026-03-01T16:13:15.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=1355371143129770
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Daniel Sanchez muchas gracias excelente domingo.,Chucho Nader,2026-03-01T19:33:15.000Z,9,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=1218706856914248
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Daniel Sanchez el pan está frito en el estado el PRI mejor ni hablar..,Francky Ortiz,2026-03-02T09:33:22.000Z,4,False,https://www.facebook.com/reel/1665120821323986/?comment_id=2294674717689912&reply_comment_id=1132887098881167
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Cesar Antonio Bolado Cañas muchas gracias saludos.,Chucho Nader,2026-03-01T19:33:51.000Z,3,False,https://www.facebook.com/reel/1665120821323986/?comment_id=1424701052440202&reply_comment_id=2040945289816328
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Gerardo Infante yaa weeeeeey,Toxhis Arreola,2026-02-28T16:46:00.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=900957449459775&reply_comment_id=991647006624360
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Gerardo Infante,Vicente González,2026-03-01T00:54:02.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=900957449459775&reply_comment_id=1546754913094427
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Gerardo Infante chúpasela a chucho,Victor A Mariño,2026-03-02T22:37:11.000Z,0,False,https://www.facebook.com/reel/1665120821323986/?comment_id=900957449459775&reply_comment_id=1255733113180588
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Gonzalez Augusto es correcto,Irma Salazar,2026-03-02T00:13:06.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=990818423887704&reply_comment_id=3095463410637886
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Gonzalez Augusto me tocó verlos varias veces comiendo gorditas Bucareli ya que a mi papá le gustan bastante o también mandaba a pedir para trabajadores del municipio de ahí mismo,Juan Antonio Catillo Borrego,2026-03-02T19:44:19.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=990818423887704&reply_comment_id=901547215823542
https://facebook.com/ChuchoNader/videos/en-los-de-barbacoa/1665120821323986,Gonzalez Augusto chúpasela,Victor A Mariño,2026-03-02T22:38:05.000Z,1,False,https://www.facebook.com/reel/1665120821323986/?comment_id=990818423887704&reply_comment_id=1199995208874343
