combination_id,h1_source,h2_source,h3_source,h4_source,L_total_Radar,mae_promedio,rmse_promedio,direction_accuracy_promedio,deteccion_caidas_promedio,delta_vs_E1_subset,delta_vs_E9_subset,loss_h1,mae_h1,dir_h1,caidas_h1,loss_h2,mae_h2,dir_h2,caidas_h2,loss_h3,mae_h3,dir_h3,caidas_h3,loss_h4,mae_h4,dir_h4,caidas_h4
9111,e9,e1,e1,e1,0.2073968496690523,0.12524266274588117,0.1697227769956875,0.7967449217449218,0.9166666666666667,-0.018160991232096024,-0.02011277050457136,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
9119,e9,e1,e1,e9,0.20817719533346069,0.12748507371704415,0.17299442068185042,0.7967449217449218,0.9166666666666667,-0.017380645567687647,-0.01933242484016298,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
9911,e9,e9,e1,e1,0.21083028678972293,0.12287321670489507,0.16458320268274673,0.7775141525141525,0.9166666666666667,-0.0147275541114254,-0.016679333383900735,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.0634053305235607,0.11345161255327918,0.6923076923076923,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
9919,e9,e9,e1,e9,0.21161063245413128,0.12511562767605805,0.16785484636890963,0.7775141525141525,0.9166666666666667,-0.013947208447017051,-0.015898987719492386,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.0634053305235607,0.11345161255327918,0.6923076923076923,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
9191,e9,e1,e9,e1,0.2232958373885447,0.12653433387130408,0.17047220837639515,0.7550782550782551,0.9166666666666667,-0.0022620035126036386,-0.004213782785078973,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.07364099790609273,0.13587012907685259,0.6666666666666666,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
9199,e9,e1,e9,e9,0.22407618305295304,0.12877674484246707,0.17374385206255805,0.7550782550782551,0.9166666666666667,-0.0014816578481952891,-0.003433437120670624,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.07364099790609273,0.13587012907685259,0.6666666666666666,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
1111,e1,e1,e1,e1,0.22555784090114833,0.12516608890366265,0.16875042993951783,0.7788877788877788,0.880952380952381,0.0,-0.0019517792724753347,0.06971811368050837,0.12358733303149272,0.7857142857142857,0.8571428571428571,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
1119,e1,e1,e1,e9,0.2263381865655567,0.12740849987482564,0.17202207362568075,0.7788877788877788,0.880952380952381,0.0007803456644083773,-0.0011714336080669574,0.06971811368050837,0.12358733303149272,0.7857142857142857,0.8571428571428571,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
9991,e9,e9,e9,e1,0.22672927450921532,0.12416488783031798,0.16533263406345433,0.7358474858474857,0.9166666666666667,0.0011714336080669852,-0.0007803456644083495,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.0634053305235607,0.11345161255327918,0.6923076923076923,0.8333333333333334,0.07364099790609273,0.13587012907685259,0.6666666666666666,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
9999,e9,e9,e9,e9,0.22750962017362367,0.12640729880148097,0.16860427774961725,0.7358474858474857,0.9166666666666667,0.0019517792724753347,0.0,0.051557122448412346,0.12389362840036676,0.8571428571428571,1.0,0.0634053305235607,0.11345161255327918,0.6923076923076923,0.8333333333333334,0.07364099790609273,0.13587012907685259,0.6666666666666666,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
1911,e1,e9,e1,e1,0.22899127802181896,0.12279664286267655,0.16361085562657707,0.7596570096570097,0.880952380952381,0.003433437120670624,0.0014816578481952891,0.06971811368050837,0.12358733303149272,0.7857142857142857,0.8571428571428571,0.0634053305235607,0.11345161255327918,0.6923076923076923,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
1919,e1,e9,e1,e9,0.2297716236862273,0.12503905383383954,0.16688249931273996,0.7596570096570097,0.880952380952381,0.004213782785078973,0.0022620035126036386,0.06971811368050837,0.12358733303149272,0.7857142857142857,0.8571428571428571,0.0634053305235607,0.11345161255327918,0.6923076923076923,0.8333333333333334,0.05774201018660035,0.13070344457516092,0.8333333333333334,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
1191,e1,e1,e9,e1,0.24145682862064072,0.12645776002908557,0.1694998613202255,0.7372211122211123,0.880952380952381,0.015898987719492386,0.013947208447017051,0.06971811368050837,0.12358733303149272,0.7857142857142857,0.8571428571428571,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.07364099790609273,0.13587012907685259,0.6666666666666666,1.0,0.03812582363114951,0.12344418129077338,0.7272727272727273,0.8333333333333334
1199,e1,e1,e9,e9,0.24223717428504907,0.12870017100024855,0.17277150500638838,0.7372211122211123,0.880952380952381,0.016679333383900735,0.0147275541114254,0.06971811368050837,0.12358733303149272,0.7857142857142857,0.8571428571428571,0.05997189340289011,0.12292939671722357,0.7692307692307693,0.8333333333333334,0.07364099790609273,0.13587012907685259,0.6666666666666666,1.0,0.03890616929555788,0.13241382517542533,0.7272727272727273,0.8333333333333334
