fecha_inicio_semana,fecha_referencia,horizonte_sem,y_current,y_true,delta_real,delta_predicho,direction_real,direction_predicha,direction_correcta,run_id_direction_oficial,politica_direccional,run_dir_origen
2025-11-24,2025-11-24,1,0.1275159595753403,0.2796059620794268,0.1520900025040865,-0.020727662715213688,sube,baja,False,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-01,2025-12-01,1,0.2796059620794268,0.0821158156091689,-0.19749014647025787,-0.07139208630135699,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-08,2025-12-08,1,0.0821158156091689,0.3038130765246692,0.2216972609155003,0.002195089991610902,sube,sube,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-15,2025-12-15,1,0.3038130765246692,0.0677012815654136,-0.2361117949592556,-0.1409846869978549,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-22,2025-12-22,1,0.0677012815654136,0.5836218782012019,0.5159205966357883,0.1276216509656492,sube,sube,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-29,2025-12-29,1,0.5836218782012019,0.1083419780858929,-0.475279900115309,-0.4839244731995586,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-05,2026-01-05,1,0.1083419780858929,0.0687870202028637,-0.03955495788302919,-0.1100546197573398,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-12,2026-01-12,1,0.0687870202028637,0.2454262295855256,0.1766392093826619,0.013301108947455204,sube,sube,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-19,2026-01-19,1,0.2454262295855256,0.3205651914908854,0.07513896190535982,-0.2131815451244805,sube,baja,False,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-26,2026-01-26,1,0.3205651914908854,0.1700074058227992,-0.15055778566808622,-0.15105278003959632,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-02,2026-02-02,1,0.1700074058227992,-0.0198367240853287,-0.18984412990812788,-0.017554565391320998,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-09,2026-02-09,1,-0.0198367240853287,0.0960196886446368,0.1158564127299655,0.15244431679275008,sube,sube,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-16,2026-02-16,1,0.0960196886446368,0.2772506816416401,0.1812309929970033,0.14232031832369363,sube,sube,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-23,2026-02-23,1,0.2772506816416401,0.2100585882774014,-0.06719209336423868,-0.06320547970533746,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-02,2026-03-02,1,0.2100585882774014,0.0271685648311405,-0.1828900234462609,-0.180806032221483,baja,baja,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-09,2026-03-09,1,0.0271685648311405,0.1211586643975283,0.0939900995663878,0.1554930421736044,sube,sube,True,E9_v2_clean,9-1-9-1,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
