fecha_inicio_semana,fecha_referencia,horizonte_sem,y_current,y_true,delta_real,delta_predicho,caida_real,alerta_caida_predicha,deteccion_caida_correcta,run_id_alerta_caida_oficial,run_dir_origen
2025-12-08,2025-12-08,2,0.0821158156091689,0.0677012815654136,-0.014414534043755298,0.05981325541310929,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-15,2025-12-15,2,0.3038130765246692,0.5836218782012019,0.2798088016765327,-0.05951392167215902,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-22,2025-12-22,2,0.0677012815654136,0.1083419780858929,0.04064069652047929,-0.1278779885779158,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-29,2025-12-29,2,0.5836218782012019,0.0687870202028637,-0.5148348579983382,-0.5558291404487408,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-05,2026-01-05,2,0.1083419780858929,0.2454262295855256,0.13708425149963271,0.05831370482812161,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-12,2026-01-12,2,0.0687870202028637,0.3205651914908854,0.2517781712880217,0.06017517007766621,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-19,2026-01-19,2,0.2454262295855256,0.1700074058227992,-0.0754188237627264,-0.09182839597708309,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-26,2026-01-26,2,0.3205651914908854,-0.0198367240853287,-0.34040191557621413,-0.13445116576604382,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-02,2026-02-02,2,0.1700074058227992,0.0960196886446368,-0.0739877171781624,-0.10614049043880738,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-09,2026-02-09,2,-0.0198367240853287,0.2772506816416401,0.2970874057269688,0.155108125203206,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-16,2026-02-16,2,0.0960196886446368,0.2100585882774014,0.1140388996327646,0.1247370356843137,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-23,2026-02-23,2,0.2772506816416401,0.0271685648311405,-0.2500821168104996,-0.09454236768276927,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-02,2026-03-02,2,0.2100585882774014,0.1211586643975283,-0.0888999238798731,0.03404180501989229,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-09,2026-03-09,2,0.0271685648311405,-0.0054622217770953,-0.0326307866082358,0.1665781908519721,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-16,2026-03-16,2,0.1211586643975283,0.0669147100498927,-0.0542439543476356,-0.029864917821039907,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-23,2026-03-23,2,-0.0054622217770953,0.110472470964671,0.1159346927417663,0.1636225274005822,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
