fecha_inicio_semana,proba_cae,proba_no_cae
2025-09-01,0.11328990257623239,0.8867100974237676
2025-09-08,0.9606431463201565,0.039356853679843505
2025-09-15,0.9784819327748997,0.021518067225100315
2025-09-22,0.21244310319341275,0.7875568968065872
2025-09-29,0.3525642477394899,0.6474357522605101
2025-10-06,0.8098196279268408,0.19018037207315922
2025-10-13,0.9126408309896696,0.08735916901033042
2025-10-20,0.6972959270783283,0.30270407292167173
2025-10-27,0.26723206116470277,0.7327679388352972
2025-11-03,0.24527983446202517,0.7547201655379748
2025-11-10,0.4517230127273629,0.5482769872726371
2025-11-17,0.22065416220478706,0.7793458377952129
2025-11-24,0.08662024509348898,0.913379754906511
2025-12-01,0.9218585771059633,0.07814142289403675
2025-12-08,0.9915931798125652,0.008406820187434754
2025-12-15,0.9911951507985899,0.00880484920141014
2025-12-22,0.9910853761947775,0.008914623805222474
2025-12-29,0.9997778018214367,0.0002221981785632851
2026-01-05,0.025676861213023816,0.9743231387869762
2026-01-12,0.9575893435707061,0.042410656429293835
2026-01-19,0.7820903392964984,0.21790966070350154
2026-01-26,0.24532994237205397,0.754670057627946
2026-02-02,0.9472855498126929,0.05271445018730714
