fecha_inicio_semana,proba_cae,proba_no_cae
2025-09-01,0.85674652442635,0.14325347557364995
2025-09-08,7.106001203460721e-06,0.9999928939987965
2025-09-15,0.12432716325227877,0.8756728367477212
2025-09-22,0.2045695819698624,0.7954304180301376
2025-09-29,0.5259900224297693,0.4740099775702306
2025-10-06,0.7551860243746137,0.2448139756253863
2025-10-13,0.9809896470322463,0.019010352967753635
2025-10-20,0.13173734280846638,0.8682626571915336
2025-10-27,0.9215455975163512,0.0784544024836488
2025-11-03,0.6626021602978844,0.33739783970211557
2025-11-10,0.21335004972008498,0.786649950279915
2025-11-17,0.9532771703657679,0.0467228296342321
2025-11-24,0.9884367672446462,0.011563232755353717
2025-12-01,0.7342606524223869,0.26573934757761314
2025-12-08,0.0765630268073777,0.9234369731926223
2025-12-15,0.01714921407389336,0.9828507859261066
2025-12-22,0.9751921992079067,0.024807800792093333
2025-12-29,0.9994700874994485,0.0005299125005514693
2026-01-05,0.9981706905305641,0.0018293094694359787
2026-01-12,0.8790133375528767,0.12098666244712326
2026-01-19,0.9988301945927486,0.001169805407251405
2026-01-26,0.11500907933785065,0.8849909206621493
2026-02-02,0.04409021183744599,0.955909788162554
2026-02-09,0.7418172606278239,0.258182739372176
2026-02-16,0.1240220886269785,0.8759779113730215
2026-02-23,0.17267482104451715,0.8273251789554829
