fecha_inicio_semana,y_current,y_true,y_pred_base,y_pred_residual,y_pred_final,error_base,error_final,selected_features_residual,residual_fallback_reason,residual_oof_rows
2025-11-10,0.0692562741764684,0.12751595957534,0.11858670771169293,-0.011637884214011384,0.10694882349768155,-0.008929251863647084,-0.020567136077658463,"v5_obras_neto_lag2,v5_basura_neto_lag4,v5_obras_neto_lag3,sentimiento_medios_lag3,sentimiento_medios_lag1,v5_agua_neto_lag1,v5_prevencion_neto_lag4,v5_alumbrado_neto_lag6,v5_alumbrado_neto_lag4,v5_obras_neto_lag6,sentimiento_medios_lag4,sentimiento_medios_lag6,v5_delitos_neto_lag2,v5_prevencion_neto_lag5,y_t_aceptacion_digital_lag5,v5_agua_neto_lag2,sentimiento_medios,v5_delitos_neto_lag5,v5_alumbrado_neto_lag5,v5_agua_neto_lag3,v5_agua_neto,v5_basura_neto_lag3,y_t_aceptacion_digital_lag1,v5_morena_neto_lag2,v5_obras_neto_lag1,v5_vialidad_neto_lag6,v5_americo_neto,v5_obras_neto_lag5,v5_prevencion_neto_lag3,sentimiento_medios_lag2",,36
2025-11-17,0.218016998769719,0.279605962079427,0.11959551727647377,-0.0034218445024541432,0.11617367277401963,-0.16001044480295323,-0.16343228930540737,"v5_obras_neto_lag2,v5_basura_neto_lag4,sentimiento_medios_lag3,v5_obras_neto_lag3,sentimiento_medios_lag1,sentimiento_medios_lag4,v5_alumbrado_neto_lag6,v5_alumbrado_neto_lag4,v5_obras_neto_lag6,v5_delitos_neto_lag2,sentimiento_medios,v5_agua_neto_lag1,v5_prevencion_neto_lag4,v5_alumbrado_neto_lag5,y_t_aceptacion_digital_lag1,v5_agua_neto_lag3,v5_agua_neto,v5_agua_neto_lag2,sentimiento_medios_lag6,y_t_aceptacion_digital_lag5,v5_basura_neto_lag1,v5_prevencion_neto_lag5,v5_basura_neto_lag3,v5_obras_neto_lag5,v5_vialidad_neto_lag6,v5_delitos_neto_lag5,v5_obras_neto_lag1,v5_morena_neto_lag2,v5_americo_neto_lag6,v5_americo_neto",,36
2025-11-24,0.12751595957534,0.0821158156091689,0.12303143257449994,-0.01044631957028427,0.11258511300421567,0.04091561696533104,0.030469297395046765,"v5_obras_neto_lag2,v5_obras_neto_lag3,v5_basura_neto_lag4,sentimiento_medios_lag1,v5_prevencion_neto_lag4,v5_obras_neto_lag1,sentimiento_medios_lag3,v5_agua_neto_lag1,v5_alumbrado_neto_lag4,v5_delitos_neto_lag2,v5_obras_neto_lag6,y_t_aceptacion_digital_lag5,v5_alumbrado_neto_lag6,sentimiento_medios_lag6,v5_alumbrado_neto,sentimiento_medios,v5_agua_neto_lag3,sentimiento_medios_lag4,v5_alumbrado_neto_lag5,v5_agua_neto_lag2,v5_prevencion_neto_lag5,v5_americo_neto_lag1,v5_americo_neto_lag6,v5_prevencion_neto_lag1,v5_delitos_neto_lag4,v5_americo_neto_lag3,v5_delitos_neto_lag5,v5_basura_neto_lag3,v5_obras_neto_lag5,y_t_aceptacion_digital_lag1",,39
2025-12-01,0.279605962079427,0.303813076524669,0.1232470507833055,-0.009098896434243746,0.11414815434906175,-0.1805660257413635,-0.18966492217560724,"v5_obras_neto_lag3,v5_obras_neto_lag2,v5_basura_neto_lag4,v5_agua_neto_lag1,sentimiento_medios_lag1,v5_prevencion_neto_lag4,sentimiento_medios_lag3,v5_alumbrado_neto_lag4,v5_alumbrado_neto_lag6,v5_delitos_neto_lag2,v5_obras_neto_lag1,y_t_aceptacion_digital_lag5,v5_obras_neto_lag6,sentimiento_medios_lag6,sentimiento_medios,v5_alumbrado_neto_lag5,sentimiento_medios_lag4,v5_agua_neto_lag2,v5_agua_neto_lag3,v5_prevencion_neto_lag5,v5_agua_neto,v5_delitos_neto_lag5,y_t_aceptacion_digital_lag1,v5_vialidad_neto_lag2,v5_prevencion_neto_lag1,v5_basura_neto_lag3,v5_americo_neto_lag1,sentimiento_medios_lag2,v5_americo_neto_lag6,v5_obras_neto_lag5",,39
2025-12-08,0.0821158156091689,0.0677012815654136,0.1272182076790021,0.0021101500622621753,0.12932835774126428,0.0595169261135885,0.06162707617585067,"sentimiento_medios_lag1,v5_basura_neto_lag4,sentimiento_medios_lag3,v5_obras_neto_lag2,v5_obras_neto_lag1,v5_prevencion_neto_lag4,sentimiento_medios,v5_agua_neto_lag1,v5_delitos_neto_lag2,v5_alumbrado_neto_lag6,v5_obras_neto_lag6,sentimiento_medios_lag4,v5_agua_neto_lag3,v5_agua_neto,v5_agua_neto_lag2,v5_alumbrado_neto_lag4,v5_alumbrado_neto,v5_vialidad_neto_lag6,v5_alumbrado_neto_lag5,v5_obras_neto_lag3,y_t_aceptacion_digital_lag1,y_t_aceptacion_digital_lag5,v5_obras_neto_lag5,v5_americo_neto_lag1,v5_morena_neto_lag6,v5_vialidad_neto_lag2,v5_basura_neto_lag6,v5_americo_neto_lag6,v5_morena_neto,v5_agua_neto_lag5",,39
2025-12-15,0.303813076524669,0.583621878201202,0.12520326417206082,-0.001975568098698335,0.12322769607336248,-0.4584186140291412,-0.46039418212783956,"sentimiento_medios_lag1,sentimiento_medios_lag3,v5_basura_neto_lag4,v5_delitos_neto_lag2,v5_obras_neto_lag2,v5_prevencion_neto_lag4,v5_agua_neto_lag1,v5_obras_neto_lag1,v5_alumbrado_neto_lag6,sentimiento_medios,v5_obras_neto_lag6,sentimiento_medios_lag4,v5_agua_neto_lag3,v5_alumbrado_neto,v5_alumbrado_neto_lag4,v5_agua_neto_lag2,v5_agua_neto,v5_vialidad_neto_lag6,v5_obras_neto_lag3,v5_alumbrado_neto_lag5,y_t_aceptacion_digital_lag5,v5_obras_neto_lag5,v5_morena_neto,y_t_aceptacion_digital_lag1,v5_basura_neto_lag6,v5_morena_neto_lag6,v5_americo_neto_lag6,v5_vialidad_neto_lag2,v5_prevencion_neto_lag1,v5_americo_neto_lag1",,39
2025-12-22,0.0677012815654136,0.108341978085893,0.13285093577419937,0.004523592774553428,0.13737452854875282,0.024508957688306368,0.02903255046285981,"sentimiento_medios_lag1,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_delitos_neto_lag2,v5_alumbrado_neto,v5_obras_neto_lag1,v5_agua_neto_lag1,v5_americo_neto_lag2,v5_basura_neto_lag4,v5_americo_neto,sentimiento_medios_lag2,v5_americo_neto_lag5,v5_delitos_neto,v5_agua_neto,sentimiento_medios,sentimiento_medios_lag4,y_t_aceptacion_digital_lag5,v5_agua_neto_lag2,v5_alumbrado_neto_lag3,v5_agua_neto_lag3,v5_vialidad_neto_lag1,v5_obras_neto_lag5,v5_morena_neto_lag6,v5_americo_neto_lag4,v5_basura_neto,v5_prevencion_neto_lag4,v5_alumbrado_neto_lag4,v5_vialidad_neto_lag6,v5_americo_neto_lag6,v5_obras_neto_lag6",,42
2025-12-29,0.583621878201202,0.0687870202028637,0.13275285806851458,0.013143350324899663,0.14589620839341425,0.06396583786565088,0.07710918819055054,"sentimiento_medios_lag1,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_delitos_neto_lag2,v5_basura_neto_lag4,sentimiento_medios_lag4,v5_alumbrado_neto,v5_americo_neto_lag2,v5_obras_neto_lag1,v5_agua_neto_lag1,v5_agua_neto,v5_americo_neto,sentimiento_medios,v5_delitos_neto,v5_agua_neto_lag2,v5_agua_neto_lag3,v5_morena_neto_lag6,v5_vialidad_neto_lag6,v5_alumbrado_neto_lag6,sentimiento_medios_lag2,v5_americo_neto_lag5,v5_obras_neto_lag5,v5_vialidad_neto_lag1,y_t_aceptacion_digital_lag5,v5_basura_neto_lag6,v5_prevencion_neto,v5_agua_neto_lag5,v5_alumbrado_neto_lag4,v5_americo_neto_lag4,v5_basura_neto",,42
2026-01-05,0.108341978085893,0.245426229585526,0.10875597085044733,0.009402800055774997,0.11815877090622233,-0.13667025873507868,-0.12726745867930367,"sentimiento_medios_lag1,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_delitos_neto_lag2,v5_alumbrado_neto,v5_obras_neto_lag1,v5_basura_neto_lag4,v5_agua_neto_lag1,sentimiento_medios_lag4,v5_delitos_neto,v5_americo_neto,sentimiento_medios,v5_americo_neto_lag2,v5_agua_neto,v5_agua_neto_lag2,v5_agua_neto_lag3,v5_morena_neto_lag6,v5_vialidad_neto_lag6,v5_americo_neto_lag5,v5_alumbrado_neto_lag6,sentimiento_medios_lag2,v5_basura_neto_lag6,y_t_aceptacion_digital_lag5,v5_alumbrado_neto_lag4,v5_americo_neto_lag6,v5_vialidad_neto_lag1,v5_prevencion_neto,v5_agua_neto_lag5,v5_obras_neto_lag6,v5_prevencion_neto_lag4",,42
2026-01-12,0.0687870202028637,0.320565191490885,0.13249464725533763,0.022552232370859824,0.15504687962619745,-0.1880705442355474,-0.16551831186468757,"sentimiento_medios_lag3,sentimiento_medios_lag1,v5_agua_neto_lag1,v5_basura_neto_lag4,v5_alumbrado_neto_lag2,v5_delitos_neto,v5_delitos_neto_lag2,sentimiento_medios_lag4,v5_americo_neto,v5_americo_neto_lag2,v5_alumbrado_neto,v5_obras_neto_lag1,v5_agua_neto_lag2,sentimiento_medios,v5_agua_neto,v5_americo_neto_lag5,v5_vialidad_neto_lag1,v5_agua_neto_lag3,v5_vialidad_neto_lag6,v5_agua_neto_lag5,v5_morena_neto_lag6,v5_basura_neto_lag6,v5_alumbrado_neto_lag3,v5_prevencion_neto_lag4,y_t_aceptacion_digital_lag5,v5_obras_neto_lag5,y_t_aceptacion_digital_lag1,v5_alumbrado_neto_lag4,v5_americo_neto_lag6,v5_basura_neto",,42
2026-01-19,0.245426229585526,0.170007405822799,0.1372879620109431,0.0217118515233048,0.15899981353424789,-0.0327194438118559,-0.01100759228855111,"sentimiento_medios_lag1,v5_alumbrado_neto_lag2,v5_americo_neto_lag2,v5_agua_neto_lag1,sentimiento_medios_lag4,v5_obras_neto_lag1,sentimiento_medios_lag3,v5_agua_neto,v5_americo_neto_lag5,v5_morena_neto_lag6,v5_delitos_neto,v5_alumbrado_neto,v5_basura_neto_lag4,v5_agua_neto_lag2,v5_americo_neto,v5_vialidad_neto_lag6,v5_basura_neto_lag6,v5_vialidad_neto_lag1,v5_agua_neto_lag3,sentimiento_medios,v5_americo_neto_lag4,v5_prevencion_neto,v5_obras_neto_lag5,v5_basura_neto,v5_delitos_neto_lag2,v5_agua_neto_lag5,y_t_aceptacion_digital_lag1,v5_basura_neto_lag5,y_t_aceptacion_digital_lag5,v5_basura_neto_lag2",,45
2026-01-26,0.320565191490885,-0.0198367240853288,0.13865855710031189,0.022465508870109046,0.16112406597042092,0.15849528118564069,0.18096079005574972,"sentimiento_medios_lag1,v5_alumbrado_neto_lag2,v5_americo_neto_lag2,v5_obras_neto_lag1,v5_agua_neto_lag1,v5_agua_neto,sentimiento_medios_lag4,v5_delitos_neto,sentimiento_medios_lag3,v5_americo_neto_lag5,v5_alumbrado_neto,v5_morena_neto_lag6,v5_basura_neto_lag4,v5_vialidad_neto_lag6,v5_basura_neto_lag6,v5_obras_neto_lag5,v5_agua_neto_lag2,v5_americo_neto_lag4,v5_vialidad_neto_lag1,v5_americo_neto,v5_basura_neto_lag2,v5_prevencion_neto,v5_basura_neto,v5_agua_neto_lag3,sentimiento_medios,v5_delitos_neto_lag2,v5_agua_neto_lag5,v5_corrupcion_neto_lag3,v5_morena_neto_lag2,y_t_aceptacion_digital_lag1",,45
2026-02-02,0.170007405822799,0.0960196886446368,0.13492169547510352,0.026005918983649054,0.1609276144587526,0.038902006830466726,0.0649079258141158,"sentimiento_medios_lag1,v5_delitos_neto,v5_americo_neto_lag2,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_agua_neto_lag1,v5_basura_neto_lag4,sentimiento_medios_lag4,v5_morena_neto_lag6,v5_agua_neto,v5_agua_neto_lag2,sentimiento_medios,v5_alumbrado_neto,v5_delitos_neto_lag2,v5_agua_neto_lag5,v5_vialidad_neto_lag1,v5_americo_neto_lag5,v5_obras_neto_lag5,v5_agua_neto_lag3,v5_delitos_neto_lag5,v5_morena_neto_lag1,sentimiento_medios_lag6,v5_americo_neto_lag4,v5_vialidad_neto_lag6,v5_obras_neto_lag1,y_t_aceptacion_digital_lag2,v5_basura_neto_lag2,v5_corrupcion_neto_lag3,v5_americo_neto,sentimiento_medios_lag5",,45
2026-02-09,-0.0198367240853288,0.27725068164164,0.1349981517110591,0.00924181324584507,0.1442399649569042,-0.1422525299305809,-0.13301071668473582,"v5_alumbrado_neto_lag2,v5_vialidad_neto_lag1,v5_delitos_neto,v5_agua_neto_lag1,sentimiento_medios_lag1,v5_americo_neto_lag2,v5_morena_neto_lag6,v5_agua_neto,v5_alumbrado_neto,sentimiento_medios,v5_corrupcion_neto_lag1,sentimiento_medios_lag3,sentimiento_medios_lag5,v5_obras_neto_lag5,sentimiento_medios_lag4,v5_americo_neto_lag5,y_t_aceptacion_digital_lag1,v5_alumbrado_neto_lag3,v5_delitos_neto_lag2,v5_americo_neto,v5_agua_neto_lag5,v5_corrupcion_neto_lag3,v5_delitos_neto_lag3,v5_delitos_neto_lag4,v5_morena_neto_lag3,v5_delitos_neto_lag1,v5_prevencion_neto,v5_basura_neto_lag4,sentimiento_medios_lag2,v5_americo_neto_lag4",,45
2026-02-16,0.0960196886446368,0.210058588277401,0.13697847408604616,0.018874078804764098,0.15585255289081026,-0.07308011419135485,-0.054206035386590745,"sentimiento_medios_lag1,v5_alumbrado_neto_lag2,v5_americo_neto_lag2,v5_morena_neto_lag6,v5_delitos_neto,sentimiento_medios_lag3,v5_agua_neto_lag1,v5_agua_neto,v5_basura_neto_lag4,v5_obras_neto_lag1,sentimiento_medios_lag4,v5_alumbrado_neto,v5_agua_neto_lag3,v5_vialidad_neto_lag6,sentimiento_medios,v5_agua_neto_lag2,v5_basura_neto_lag6,v5_vialidad_neto_lag1,v5_agua_neto_lag5,v5_americo_neto_lag5,v5_obras_neto_lag5,v5_delitos_neto_lag5,v5_basura_neto_lag2,v5_morena_neto_lag1,y_t_aceptacion_digital_lag2,v5_americo_neto_lag4,v5_corrupcion_neto_lag3,v5_vialidad_neto_lag5,v5_delitos_neto_lag2,v5_obras_neto_lag3",,48
