fecha_inicio_semana,fecha,y_current,y_true,y_pred,error,horizonte_sem,run_id,meta_model,n_modelos_base,E1_v5_clean,E5_v4_clean,E2_v3_clean,E7_v3_clean
2025-11-24,2025-11-24,0.1275159595753403,0.0821158156091689,0.012180482090783443,-0.06993533351838546,2,E9_v2_clean,huber,4,0.1230314325744999,0.1430008039160628,0.3047233559149775,-0.0762840318410951
2025-12-01,2025-12-01,0.2796059620794268,0.3038130765246692,0.1712285562142592,-0.13258452031041001,2,E9_v2_clean,huber,4,0.1232470507833054,0.139251927857208,0.3279441403233889,0.2957184265204527
2025-12-08,2025-12-08,0.0821158156091689,0.0677012815654136,0.1419290710222782,0.07422778945686459,2,E9_v2_clean,huber,4,0.127218207679002,0.2053958137225716,0.1909488332041785,-0.0150957856310579
2025-12-15,2025-12-15,0.3038130765246692,0.5836218782012019,0.24429915485251025,-0.3393227233486917,2,E9_v2_clean,huber,4,0.1252032641720607,0.1911270626557298,0.252631248206335,0.256962496413659
2025-12-22,2025-12-22,0.06770128156541363,0.1083419780858929,-0.060176707012502245,-0.16851868509839513,2,E9_v2_clean,huber,4,0.1328509357741993,0.1381458549606611,0.0724209033007215,-0.0383465970286641
2025-12-29,2025-12-29,0.5836218782012019,0.0687870202028637,0.027792737752461202,-0.0409942824504025,2,E9_v2_clean,huber,4,0.1327528580685145,0.0756286845736092,0.0899200200128471,0.0429335316632678
2026-01-05,2026-01-05,0.1083419780858929,0.2454262295855256,0.1666556829140145,-0.0787705466715111,2,E9_v2_clean,huber,4,0.1087559708504473,0.0965131719383559,-0.0357824413056207,0.02902793270716
2026-01-12,2026-01-12,0.06878702020286374,0.3205651914908854,0.1289621902805299,-0.1916030012103555,2,E9_v2_clean,huber,4,0.1324946472553376,0.1351021186247822,0.0382829728984928,0.1209466561968297
2026-01-19,2026-01-19,0.2454262295855256,0.1700074058227992,0.15359783360844254,-0.016409572214356655,2,E9_v2_clean,huber,4,0.137287962010943,0.1408893033830736,0.1091556611343879,0.1509223385094212
2026-01-26,2026-01-26,0.3205651914908854,-0.0198367240853287,0.1861140257248416,0.20595074981017028,2,E9_v2_clean,huber,4,0.1386585571003118,0.1628368229801394,0.2782692787635076,0.2215397179685832
2026-02-02,2026-02-02,0.1700074058227992,0.0960196886446368,0.06386691538399185,-0.032152773260644946,2,E9_v2_clean,huber,4,0.1349216954751034,0.1275500996617372,0.1408666924543693,-0.0084640042441268
2026-02-09,2026-02-09,-0.01983672408532875,0.2772506816416401,0.13527140111787736,-0.1419792805237627,2,E9_v2_clean,huber,4,0.134998151711059,0.1220807868988437,0.3010873207432376,0.2378615792662838
2026-02-16,2026-02-16,0.09601968864463681,0.2100585882774014,0.2207567243289505,0.010698136051549095,2,E9_v2_clean,huber,4,0.1369784740860461,0.1756602433578716,0.2983456232345788,0.2778126590482666
2026-02-23,2026-02-23,0.2772506816416401,0.0271685648311405,0.18270831395887088,0.1555397491277304,2,E9_v2_clean,huber,4,0.1381182733475549,0.1324008835892048,0.069902236563013,0.2377399438851175
2026-03-02,2026-03-02,0.2100585882774014,0.1211586643975283,0.24410039329729377,0.12294172889976547,2,E9_v2_clean,huber,4,0.1375244218294738,0.1649224074404882,0.3014230180579914,0.4095849512483336
2026-03-09,2026-03-09,0.02716856483114054,-0.0054622217770953,0.19374675568311267,0.19920897746020796,2,E9_v2_clean,huber,4,0.137063082327125,0.1620070852518255,0.1709531774238177,0.3599067441476274
2026-03-16,2026-03-16,0.1211586643975283,0.0669147100498927,0.09129374657648844,0.024379036526595732,2,E9_v2_clean,huber,4,0.1328116665102765,0.1385026946115395,0.1194497489357198,0.0639810751651367
2026-03-23,2026-03-23,-0.005462221777095377,0.110472470964671,0.15816030562348693,0.04768783465881593,2,E9_v2_clean,huber,4,0.1328596377385041,0.1936794174217224,0.1967497835487362,0.1879073659526454
2026-03-30,2026-03-30,0.06691471004989276,0.0668779193556926,0.08640227639385631,0.019524357038163714,2,E9_v2_clean,huber,4,0.1320020307839937,0.1080311045515959,0.2929152222533975,0.0497077025487167
2026-04-06,2026-04-06,0.110472470964671,0.042142027416753,0.08644002257532281,0.04429799515856981,2,E9_v2_clean,huber,4,0.1304855689895995,0.0947204371667491,0.2273934625365905,0.0716404135711276
2026-04-13,2026-04-13,0.06687791935569266,0.0732244276596991,0.11681041097236416,0.04358598331266507,2,E9_v2_clean,huber,4,0.127922471670298,0.1171672470520451,0.0714388382092793,0.1231732090741524
