video_id,comment_id,parent_comment_id,is_reply,author,comment_text,published_at,like_count,query,video_title,channel_title,video_published_at,fecha_extraccion
TkH53bf6ic8,UgwEC8hJ72ADB492gfZ4AaABAg,,False,@johannestigorpanjaitan1888,Amen. ❤❤❤,2026-02-27T03:57:46Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,Ugw9by5WNVhtHcH3IJl4AaABAg,,False,@truthseekerfaith-c2,"I am a newcomer to your site, and this is the third video I have viewed of all your videos. I also believe that the bible gives us all the answers, and do not need any other documents, but we will only find it if we do a study into it. To add to your teaching, I can add that Jesus said to His disciples that they knew the Spirit of Truth, and He dwelled with them, and the only one they all knew, was Jesus, which affirms that Jesus is the Holy Spirit in this world today. The Spirit of Truth is also linked up to the Comforter in the bible. The text where Jesus said that where two or three are gathered in His Name, there He will be, also affirms that He is the Holy Spirit in the world today. Jesus also said that He will be with mankind until the end of the world also affirms that He is the Holy Spirit with us. God did not need another Holy Spirit to help Him to rule the universe and all of creation. satan is jealous because he is not the Son of God and he could not sit at the right hand of God, and that is why there was war in heaven and he was kicked out onto this earth, and he is now trying his utmost best to try and destroy mankind, God&#39;s creation, as he wants to be holy and be called the Holy Spirit, the third person of the trinity teaching, and also now teaches in the world that you should pray to the Holy Spirit, which is not correct as Jesus is the Only Way, the Truth and the Life, and nobody goes to the Father but by Him. Thank you for a very well explained video. May God bless you in your ministry.",2026-02-25T06:55:36Z,1,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,Ugyo11R0k5jwVjXVFj54AaABAg,,False,@childofYah7,"Exodus 9:16 tells us that our Elohim (Mighty One)wants His name to be known. (God is the devil&#39;s name that he used when the 1611KJV was rewritten to replace YHWH about 7000 times.) When most people hear &quot;God&quot; they connect it to the Trinity. I understand replacing &quot;gods&quot; with mighty ones &amp; &quot;God&quot; with Yahuah will be a difficult change for you, but you have been teaching us many other changes, please add this fact to your teachings.❤",2026-02-20T14:21:32Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,UgzLOmPkJZosdI4_W9h4AaABAg,,False,@childofYah7,I wish that you would stop using the devil&#39;s name (of &quot;God&quot;) when you speak of the Almighty elohim. The name God is what the devil gave man to call his trinity idea. (His whole name can be found in Enoch 69:6.) Bibles have God (&amp;Lord meaning Baal)as a replacement for YHWH because the devil hates the Almighty.,2026-02-20T13:58:41Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,Ugx0GaEYGF0EJhBMHbp4AaABAg,,False,@scottbarndon9556,Sanctuary doctrine to me represents the righteousness  by faith to each individual believer its very symbolic in our path to obtaining   jesus christ righteousness,2026-01-31T08:47:28Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,UgyEtNf5dakVDWvtYWB4AaABAg,,False,@princedonaldbenson8055,"But brother, there are some bible text that states where Christ stated the Father as the creator. <br>How do we balance who created please 🙏",2026-01-04T18:13:37Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,Ugz9xGPgbbfwP_xlM_d4AaABAg,,False,@NotMitch69,"This is your best video yet. I had already come to this conclusion based on one of Judgment Hour’s videos against the trinity, but you marrying the concept of the high priest in our earthly “temples” was illuminating!",2026-01-03T05:30:02Z,1,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,Ugw3X3zMlvDDwqep_ox4AaABAg,,False,@bonnieadams1829,Acts 20:28 is saying the the Holy Ghost purchased the church of God in His own blood.  The only way this is true is if the Holy Ghost is Jesus fore Jesus purchased the church of God with His blood/Life.,2026-01-01T20:41:01Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,UgzqXAv_65v6swNbaZt4AaABAg,,False,@vk8716,"Se lo Spirito santo è Gesù stesso dopo la sua ascensione al cielo, e mandato ai discepoli, come si spiega che Dio ha creato tutto con lo Spirito santo e che lo Spirito è sceso su Maria per concepire Gesù? ( Genesi 1:2 e Matteo <a href=""https://www.youtube.com/watch?v=TkH53bf6ic8&amp;t=78"">1:18</a>)",2025-12-06T17:48:43Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
TkH53bf6ic8,UgyDehrDsl5RTzJH9Xl4AaABAg,,False,@Abia-x9j,"The eternal Godhead—the Father, the Son, and the Holy Ghost—is involved in the action required to make assurance to the human agent.”—Upward Look, 148.<br><br>“The Father, the Son, and the Holy Spirit, the three holy dignitaries of heaven, have declared that they will strengthen men to overcome the powers of darkness. All the facilities of heaven are pledged to those who by their baptismal vows have entered into a covenant with God.”—5 Bible Commentary, 1110. (Manuscript 92,1901).",2025-12-02T20:07:20Z,0,Jesus Nader,Is Jesus the Spirit? A Trinity Mystery Solved! - Nader Mansour,Nader Mansour - Prove All Things,2025-04-05T01:57:36Z,2026-03-19 09:54:34
