query_index,query,status,videos_found,videos_with_comments,comments_extracted,video_errors,query_errors,duration_seconds
1,MonicaVTampico,success,0,0,0,0,0,0.267
2,TampicoGob,success,0,0,0,0,0,0.202
3,"""Monica Villarreal Tampico""",success,1,0,0,0,0,0.607
4,"""Gobierno de Tampico""",success,1,1,1,0,0,0.758
