fecha_inicio_semana,y_current,y_true_level,y_true_delta,y_true_cls_id,y_pred_cls_id,y_true_cls_label,y_pred_cls_label,selected_feature_count_cls,selected_features_clf,train_class_ids,train_class_labels,proba_cae,proba_no_cae
2025-11-10,0.0692562741764684,0.0821158156091689,0.012859541432700503,1,1,no_cae,no_cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_agua_neto_lag5,v5_basura_neto_lag2,v5_obras_neto_lag3,v5_morena_neto_lag1,v5_obras_neto_lag6,v5_obras_neto_lag1,v5_agua_neto_lag6,sentimiento_medios_lag6,v5_morena_neto,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_delitos_neto_lag2,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag3,sentimiento_medios_lag2,v5_agua_neto_lag4,v5_basura_neto_lag6,v5_prevencion_neto,v5_morena_neto_lag3,v5_americo_neto_lag1,v5_basura_neto,v5_americo_neto_lag4,v5_delitos_neto_lag6,v5_alumbrado_neto_lag3,v5_americo_neto","0,1","cae,no_cae",0.4517230127273629,0.5482769872726371
2025-11-17,0.218016998769719,0.303813076524669,0.08579607775494999,1,1,no_cae,no_cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_basura_neto_lag2,v5_agua_neto_lag5,v5_obras_neto_lag3,v5_morena_neto_lag1,v5_obras_neto_lag6,v5_obras_neto_lag1,v5_agua_neto_lag6,sentimiento_medios_lag6,v5_morena_neto,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_delitos_neto_lag2,v5_alumbrado_neto_lag1,y_t_aceptacion_digital_lag3,sentimiento_medios_lag2,v5_agua_neto_lag4,v5_basura_neto_lag6,v5_prevencion_neto,v5_morena_neto_lag3,v5_americo_neto_lag1,v5_basura_neto,v5_americo_neto_lag4,v5_delitos_neto_lag6,v5_alumbrado_neto_lag3,v5_americo_neto","0,1","cae,no_cae",0.22065416220478706,0.7793458377952129
2025-11-24,0.12751595957534,0.0677012815654136,-0.0598146780099264,0,1,cae,no_cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_agua_neto_lag5,v5_obras_neto_lag3,v5_basura_neto_lag2,v5_morena_neto_lag1,v5_agua_neto_lag6,v5_obras_neto_lag6,sentimiento_medios_lag6,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_morena_neto,v5_delitos_neto_lag2,y_t_aceptacion_digital_lag3,sentimiento_medios_lag2,v5_alumbrado_neto_lag1,v5_agua_neto_lag4,v5_obras_neto_lag1,v5_basura_neto_lag6,v5_morena_neto_lag3,v5_americo_neto,v5_americo_neto_lag4,v5_basura_neto,v5_prevencion_neto,v5_delitos_neto_lag6,y_t_aceptacion_digital_lag6,v5_prevencion_neto_lag2","0,1","cae,no_cae",0.08662024509348898,0.913379754906511
2025-12-01,0.279605962079427,0.583621878201202,0.30401591612177503,1,0,no_cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_agua_neto_lag5,v5_obras_neto_lag3,v5_basura_neto_lag2,v5_morena_neto_lag1,v5_obras_neto_lag6,sentimiento_medios_lag6,v5_agua_neto_lag6,v5_prevencion_neto_lag4,v5_morena_neto,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_delitos_neto_lag2,sentimiento_medios_lag2,v5_alumbrado_neto_lag1,v5_agua_neto_lag4,v5_obras_neto_lag1,v5_basura_neto_lag6,v5_basura_neto,v5_americo_neto,v5_morena_neto_lag3,v5_prevencion_neto,v5_delitos_neto_lag6,v5_americo_neto_lag4,v5_prevencion_neto_lag2,v5_vialidad_neto","0,1","cae,no_cae",0.9218585771059633,0.07814142289403675
2025-12-08,0.0821158156091689,0.108341978085893,0.026226162476724102,1,0,no_cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_obras_neto_lag6,sentimiento_medios_lag6,v5_morena_neto_lag1,v5_basura_neto_lag2,v5_agua_neto_lag5,v5_americo_neto,v5_prevencion_neto_lag4,v5_agua_neto_lag6,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_delitos_neto_lag2,v5_basura_neto_lag6,v5_morena_neto_lag3,v5_americo_neto_lag4,v5_agua_neto_lag4,sentimiento_medios_lag2,v5_delitos_neto_lag6,v5_americo_neto_lag2,v5_americo_neto_lag6,v5_corrupcion_neto_lag3,v5_americo_neto_lag1,v5_obras_neto_lag3,v5_basura_neto,v5_vialidad_neto,v5_morena_neto","0,1","cae,no_cae",0.9915931798125652,0.008406820187434754
2025-12-15,0.303813076524669,0.0687870202028637,-0.2350260563218053,0,0,cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_obras_neto_lag6,sentimiento_medios_lag6,v5_morena_neto_lag1,v5_agua_neto_lag5,v5_basura_neto_lag2,v5_americo_neto,v5_agua_neto_lag6,v5_prevencion_neto_lag4,sentimiento_medios_lag1,y_t_aceptacion_digital_lag3,v5_delitos_neto_lag2,v5_basura_neto_lag6,v5_morena_neto_lag3,v5_agua_neto_lag4,v5_delitos_neto_lag6,sentimiento_medios_lag2,v5_americo_neto_lag4,v5_americo_neto_lag2,v5_americo_neto_lag6,v5_corrupcion_neto_lag3,v5_obras_neto_lag3,v5_basura_neto,v5_morena_neto,y_t_aceptacion_digital_lag6,v5_vialidad_neto","0,1","cae,no_cae",0.9911951507985899,0.00880484920141014
2025-12-22,0.0677012815654136,0.245426229585526,0.1777249480201124,1,0,no_cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,sentimiento_medios_lag3,v5_alumbrado_neto_lag2,v5_prevencion_neto_lag3,v5_obras_neto_lag6,v5_morena_neto_lag1,v5_agua_neto_lag5,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_prevencion_neto_lag4,v5_agua_neto_lag6,v5_delitos_neto_lag2,sentimiento_medios_lag1,v5_americo_neto_lag4,y_t_aceptacion_digital_lag3,v5_obras_neto_lag3,sentimiento_medios_lag2,v5_basura_neto,v5_alumbrado_neto_lag3,v5_basura_neto_lag6,v5_agua_neto_lag4,v5_morena_neto_lag3,v5_prevencion_neto,v5_americo_neto,v5_delitos_neto_lag6,v5_vialidad_neto,v5_americo_neto_lag1,y_t_aceptacion_digital_lag6,sentimiento_medios_lag4","0,1","cae,no_cae",0.9910853761947775,0.008914623805222474
2025-12-29,0.583621878201202,0.320565191490885,-0.263056686710317,0,0,cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_prevencion_neto_lag3,v5_agua_neto_lag5,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_morena_neto_lag1,v5_prevencion_neto_lag4,v5_agua_neto_lag6,v5_obras_neto_lag6,v5_delitos_neto_lag2,v5_americo_neto_lag4,sentimiento_medios_lag1,v5_prevencion_neto,v5_morena_neto_lag3,y_t_aceptacion_digital_lag3,v5_americo_neto,v5_basura_neto_lag6,v5_agua_neto_lag4,v5_vialidad_neto,sentimiento_medios_lag2,v5_delitos_neto_lag6,v5_basura_neto,y_t_aceptacion_digital_lag6,v5_prevencion_neto_lag2,v5_delitos_neto_lag1,v5_obras_neto_lag3,v5_americo_neto_lag3","0,1","cae,no_cae",0.9997778018214367,0.0002221981785632851
2026-01-05,0.108341978085893,0.170007405822799,0.06166542773690599,1,1,no_cae,no_cae,30,"v5_delitos_neto,v5_corrupcion_neto,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_prevencion_neto_lag3,v5_americo_neto_lag4,v5_prevencion_neto_lag4,sentimiento_medios_lag1,v5_delitos_neto_lag2,v5_morena_neto_lag1,v5_obras_neto_lag6,v5_agua_neto_lag6,v5_prevencion_neto,v5_morena_neto_lag3,v5_basura_neto,v5_delitos_neto_lag1,v5_prevencion_neto_lag2,v5_agua_neto_lag4,v5_basura_neto_lag6,sentimiento_medios_lag2,y_t_aceptacion_digital_lag3,v5_vialidad_neto,y_t_aceptacion_digital_lag6,v5_obras_neto_lag5,v5_alumbrado_neto_lag4,v5_obras_neto_lag3,v5_delitos_neto_lag6","0,1","cae,no_cae",0.025676861213023816,0.9743231387869762
2026-01-12,0.0687870202028637,-0.0198367240853288,-0.0886237442881925,0,0,cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_prevencion_neto_lag4,v5_americo_neto_lag4,v5_prevencion_neto_lag3,sentimiento_medios_lag1,v5_delitos_neto_lag2,v5_morena_neto_lag1,v5_agua_neto_lag6,v5_prevencion_neto,v5_obras_neto_lag6,v5_morena_neto_lag3,v5_prevencion_neto_lag2,v5_basura_neto,v5_basura_neto_lag6,sentimiento_medios_lag2,v5_agua_neto_lag4,y_t_aceptacion_digital_lag6,v5_delitos_neto_lag1,v5_alumbrado_neto_lag4,y_t_aceptacion_digital_lag3,v5_vialidad_neto,v5_morena_neto,y_t_aceptacion_digital_lag4,v5_delitos_neto_lag6","0,1","cae,no_cae",0.9575893435707061,0.042410656429293835
2026-01-19,0.245426229585526,0.0960196886446368,-0.14940654094088923,0,0,cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_prevencion_neto_lag4,v5_agua_neto_lag5,v5_americo_neto_lag4,sentimiento_medios_lag1,v5_morena_neto_lag1,v5_delitos_neto_lag2,v5_agua_neto_lag6,v5_prevencion_neto_lag3,v5_prevencion_neto,v5_obras_neto_lag6,v5_morena_neto_lag3,v5_prevencion_neto_lag2,v5_basura_neto,v5_agua_neto_lag4,sentimiento_medios_lag2,v5_basura_neto_lag6,y_t_aceptacion_digital_lag6,v5_alumbrado_neto_lag4,v5_morena_neto,v5_vialidad_neto,y_t_aceptacion_digital_lag4,v5_delitos_neto_lag1,y_t_aceptacion_digital_lag3,v5_agua_neto_lag2","0,1","cae,no_cae",0.7820903392964984,0.21790966070350154
2026-01-26,0.320565191490885,0.27725068164164,-0.04331450984924501,0,1,cae,no_cae,30,"v5_delitos_neto,v5_corrupcion_neto,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_americo_neto_lag4,sentimiento_medios_lag1,v5_delitos_neto_lag2,v5_prevencion_neto,v5_prevencion_neto_lag3,v5_prevencion_neto_lag4,v5_morena_neto_lag1,v5_agua_neto_lag6,v5_obras_neto_lag6,v5_prevencion_neto_lag2,v5_basura_neto,v5_morena_neto,y_t_aceptacion_digital_lag3,v5_basura_neto_lag6,sentimiento_medios_lag2,v5_agua_neto_lag4,v5_vialidad_neto,y_t_aceptacion_digital_lag6,v5_americo_neto_lag6,v5_agua_neto_lag2,v5_delitos_neto_lag1,v5_agua_neto,v5_morena_neto_lag3","0,1","cae,no_cae",0.24532994237205397,0.754670057627946
2026-02-02,0.170007405822799,0.210058588277401,0.04005118245460201,1,0,no_cae,cae,30,"v5_delitos_neto,v5_corrupcion_neto,v5_alumbrado_neto_lag2,sentimiento_medios_lag3,v5_basura_neto_lag2,sentimiento_medios_lag6,v5_agua_neto_lag5,v5_americo_neto_lag4,sentimiento_medios_lag1,v5_delitos_neto_lag2,v5_prevencion_neto_lag3,v5_prevencion_neto,v5_prevencion_neto_lag4,v5_agua_neto_lag6,v5_obras_neto_lag6,v5_morena_neto_lag1,v5_prevencion_neto_lag2,v5_basura_neto,v5_morena_neto,y_t_aceptacion_digital_lag3,v5_agua_neto_lag4,sentimiento_medios_lag2,y_t_aceptacion_digital_lag6,v5_basura_neto_lag6,v5_vialidad_neto,v5_agua_neto_lag2,v5_americo_neto_lag6,v5_agua_neto,v5_morena_neto_lag3,v5_delitos_neto_lag1","0,1","cae,no_cae",0.9472855498126929,0.05271445018730714
