fecha_inicio_semana,fecha,y_current,y_true,y_pred,error,horizonte_sem,run_id,meta_model,n_modelos_base,E1_v5_clean,E5_v4_clean,E3_v2_clean,E2_v3_clean
2025-11-24,2025-11-24,0.12751595957534,0.0677012815654136,0.03374948002221159,-0.033951801543202015,4,E9_v2_clean,huber,4,0.1190620107773438,0.1255998207257801,0.1243627685792366,0.116740825374389
2025-12-01,2025-12-01,0.279605962079427,0.583621878201202,0.07098028654909518,-0.5126415916521069,4,E9_v2_clean,huber,4,0.1173402499923326,0.1010550951263508,0.1135232050358652,0.2453068296572707
2025-12-08,2025-12-08,0.0821158156091689,0.108341978085893,0.21114043560635085,0.10279845752045784,4,E9_v2_clean,huber,4,0.1258411218181266,0.1182203237087229,0.1261622049602215,0.1969549491746086
2025-12-15,2025-12-15,0.303813076524669,0.0687870202028637,0.14112320380119617,0.07233618359833247,4,E9_v2_clean,huber,4,0.1258923583922039,0.1434020792279643,0.143587113752917,0.2988462991771213
2025-12-22,2025-12-22,0.0677012815654136,0.245426229585526,0.09219499681479115,-0.15323123277073486,4,E9_v2_clean,huber,4,0.1238942439398002,0.1064288090907538,0.1246746491583606,0.1062785027904751
2025-12-29,2025-12-29,0.583621878201202,0.320565191490885,0.19022653754369379,-0.13033865394719124,4,E9_v2_clean,huber,4,0.1262960538158083,0.0876215804559303,0.134072847401174,0.0649191276240334
2026-01-05,2026-01-05,0.108341978085893,0.170007405822799,0.15530687561902307,-0.01470053020377593,4,E9_v2_clean,huber,4,0.13178883678786,0.153960359809883,0.1745777537444799,0.2055252004440035
2026-01-12,2026-01-12,0.0687870202028637,-0.0198367240853288,0.13622583720542997,0.15606256129075877,4,E9_v2_clean,huber,4,0.131489977824234,0.1425903239178272,0.1514071641393527,0.2367606736461288
2026-01-19,2026-01-19,0.245426229585526,0.0960196886446368,0.12205911705318656,0.026039428408549767,4,E9_v2_clean,huber,4,0.129191908359061,0.1373323737871117,0.1520698232383689,0.1862709437485128
2026-01-26,2026-01-26,0.320565191490885,0.27725068164164,0.1058897786936468,-0.17136090294799322,4,E9_v2_clean,huber,4,0.127608373344067,0.1143071147376205,0.1234807662348784,0.1666751222028656
2026-02-02,2026-02-02,0.170007405822799,0.210058588277401,0.12696785523082543,-0.08309073304657558,4,E9_v2_clean,huber,4,0.132580355698569,0.1745497610314181,0.1915389740337395,0.3488305953694716
