query_index,query,medio,termino,article_title,article_url_resolved,source_domain,status_descarga,extraction_method,article_text_length,cache_hit_article,playwright_used,fallback_used,attempted_methods,error_type,error_detail
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¡Pequeños genios tampiqueños! Resuelven 70 operaciones en cinco minutos y se van al mundial en Panamá - El Sol de México,https://oem.com.mx/elsoldetampico/ciencia-y-salud/pequenos-genios-tampiquenos-resuelven-70-operaciones-en-cinco-minutos-y-se-van-al-mundial-en-panama-29269298,oem.com.mx,downloaded_ok,trafilatura,1659,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Semana Santa en Tampico: ¿cuánto cuesta una torta de la barda y qué es lo que lleva? - El Sol de México,https://oem.com.mx/elsoldetampico/turismo/semana-santa-en-tampico-cuanto-cuesta-una-torta-de-la-barda-y-que-es-lo-que-lleva-29313862,oem.com.mx,downloaded_ok,trafilatura,1032,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Ganadores del 99° Torneo Anual de Golf Tampico Open 2026 - El Sol de México,https://oem.com.mx/elsoldetampico/tags/deportes/ganadores-del-99-torneo-anual-de-golf-tampico-open-2026-29335370,oem.com.mx,downloaded_ok,trafilatura,976,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""","Gryta.com, Fylosofía en expresión / Empezar de nuevo - El Sol de México",https://oem.com.mx/elsoldetampico/analisis/gryta-com-fylosofia-en-expresion-empezar-de-nuevo-29317231,oem.com.mx,downloaded_ok,trafilatura,3281,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¿Tu playera dice ‘Meci’? Repunta la venta de jersey clones en Tampico previo al Mundial 2026 - El Sol de México,https://oem.com.mx/elsoldetampico/deportes/tu-playera-dice-meci-repunta-la-venta-de-jersey-clones-en-tampico-previo-al-mundial-2026-29290184,oem.com.mx,downloaded_ok,trafilatura,1381,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""","En Tampico, ofrecen capacitación a mujeres en mantenimiento de aires acondicionados - El Sol de México",https://oem.com.mx/elsoldetampico/local/en-tampico-ofrecen-capacitacion-a-mujeres-en-mantenimiento-de-aires-acondicionados-29235109,oem.com.mx,downloaded_ok,trafilatura,1517,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Conoce a los ganadores del Carnaval Tampico Alto 2026; ¡de la Brecha Huasteca al trono! - El Sol de México,https://oem.com.mx/elsoldetampico/turismo/conoce-a-los-ganadores-del-carnaval-tampico-alto-2026-de-la-brecha-huasteca-al-trono-29249769,oem.com.mx,downloaded_ok,trafilatura,1107,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",¡Orgullo de Tamaulipas! Niño de 10 años de Tampico es el nuevo campeón nacional de oratoria - El Sol de México,https://oem.com.mx/elsoldetampico/gossip/orgullo-de-tamaulipas-nino-de-10-anos-de-tampico-es-el-nuevo-campeon-nacional-de-oratoria-29325182,oem.com.mx,downloaded_ok,trafilatura,1434,False,False,False,trafilatura,,
4,"""Monica Villarreal"" site:milenio.com",site:milenio.com,"""Monica Villarreal""",Tampico promueve experiencias turísticas con contenido temático para los visitantes - Milenio,https://www.milenio.com/comunidad/tampico-promueve-experiencias-turisticas-contenido-tematico,www.milenio.com,downloaded_ok,cloudscraper,2341,False,False,True,"trafilatura,cloudscraper",,
4,"""Monica Villarreal"" site:milenio.com",site:milenio.com,"""Monica Villarreal""",Hoteles de Tampico conectarán botones de pánico y videovigilancia al C5 - Milenio,https://www.milenio.com/comunidad/hoteles-tampico-conectaran-botones-panico-videovigilancia,www.milenio.com,downloaded_ok,cloudscraper,3208,False,False,True,"trafilatura,cloudscraper",,
4,"""Monica Villarreal"" site:milenio.com",site:milenio.com,"""Monica Villarreal""",La Grilla - Milenio,https://www.milenio.com/opinion/editoriales/se-dice-en-la-grilla-tamaulipas/la-grilla_1115,www.milenio.com,downloaded_ok,cloudscraper,2023,False,False,True,"trafilatura,cloudscraper",,
4,"""Monica Villarreal"" site:milenio.com",site:milenio.com,"""Monica Villarreal""",Cruz Roja reanuda actividades en Tampico por vacaciones de Semana Santa 2026 pese a suspensión - Milenio,https://www.milenio.com/estados/cruz-roja-tampico-atendera-emergencias-semana-santa-2026,www.milenio.com,downloaded_ok,cloudscraper,2975,False,False,True,"trafilatura,cloudscraper",,
4,"""Monica Villarreal"" site:milenio.com",site:milenio.com,"""Monica Villarreal""",La Grilla - Milenio,https://www.milenio.com/opinion/editoriales/se-dice-en-la-grilla-tamaulipas/la-grilla_1114,www.milenio.com,downloaded_ok,cloudscraper,2202,False,False,True,"trafilatura,cloudscraper",,
6,"""tampico"" site:milenio.com",site:milenio.com,"""tampico""",Transporte público es el que menos cumple Reglamento de Tránsito en Tampico - Milenio,https://www.milenio.com/estados/transporte-publico-incumple-reglamento-transito-tampico,www.milenio.com,downloaded_ok,cloudscraper,3824,False,False,True,"trafilatura,cloudscraper",,
6,"""tampico"" site:milenio.com",site:milenio.com,"""tampico""","“Llego como un hermano, un servidor y un pastor que desea caminar entre la comunidad”: nuevo obispo de Tampico - Milenio",https://www.milenio.com/comunidad/nuevo-obispo-de-tampico-tras-viernes-santo,www.milenio.com,downloaded_ok,cloudscraper,2220,False,False,True,"trafilatura,cloudscraper",,
