fecha_inicio_semana,y_true,y_pred_residual
2025-09-01,0.0353374615739687,0.026908700355130422
2025-09-08,0.037083177521204,0.04423040728135419
2025-09-15,0.0408302409621366,-0.16432891160160895
2025-09-22,-0.0316621893348032,0.022637369588027482
2025-09-29,0.167412720914919,-0.07565329135648448
2025-10-06,0.134823580717908,-0.043025943523505486
2025-10-13,0.170657905569605,-0.05027631258470844
2025-10-20,0.0692562741764684,-0.049300158770369314
2025-10-27,0.218016998769719,-0.04340030433796019
2025-11-03,0.12751595957534,0.06911767896731436
2025-11-10,0.279605962079427,0.009309909834339972
2025-11-17,0.0821158156091689,-0.10243151696168193
2025-11-24,0.303813076524669,-0.030370596961987212
2025-12-01,0.0677012815654136,0.06301317124148359
2025-12-08,0.583621878201202,-0.01670543981032216
2025-12-15,0.108341978085893,0.03237860488228641
2025-12-22,0.0687870202028637,0.027217868689624922
2025-12-29,0.245426229585526,0.02374215921863707
2026-01-05,0.320565191490885,-0.038161918741375346
2026-01-12,0.170007405822799,0.22715783310085771
2026-01-19,-0.0198367240853288,0.04982128096867254
2026-01-26,0.0960196886446368,0.0356321536581816
2026-02-02,0.27725068164164,0.09485121791843495
2026-02-09,0.210058588277401,0.1300253423963509
