fecha_inicio_semana,y_true,y_pred_residual
2025-09-01,0.037083177521204,0.4487720217588361
2025-09-08,0.0408302409621366,-0.9708133077182841
2025-09-15,-0.0316621893348032,1.2012432662945973
2025-09-22,0.167412720914919,2.391450170992209
2025-09-29,0.134823580717908,-3.8724258916188514
2025-10-06,0.170657905569605,1.3936386842697837
2025-10-13,0.0692562741764684,-0.3889464402218578
2025-10-20,0.218016998769719,0.13045301852424657
2025-10-27,0.12751595957534,0.5026837371877128
2025-11-03,0.279605962079427,-0.7999228847329746
2025-11-10,0.0821158156091689,0.051380335621683815
2025-11-17,0.303813076524669,0.3901563081036119
2025-11-24,0.0677012815654136,0.08035575182584119
2025-12-01,0.583621878201202,0.08430404997530332
2025-12-08,0.108341978085893,-0.3411299558355693
2025-12-15,0.0687870202028637,0.499843551680388
2025-12-22,0.245426229585526,0.1765875223948467
2025-12-29,0.320565191490885,0.43407017588004065
2026-01-05,0.170007405822799,0.016499787867586546
2026-01-12,-0.0198367240853288,-0.32805243435718007
2026-01-19,0.0960196886446368,0.5178464161814551
2026-01-26,0.27725068164164,0.10418190007614252
2026-02-02,0.210058588277401,0.16156992481253638
