fecha_inicio_semana,y_current,y_true,y_pred,error
2025-08-18,0.0643779113892458,0.0750438311217277,0.08317066735395592,0.008126836232228221
2025-08-25,0.342789901148327,0.244150207322864,0.12681568638306956,-0.11733452093979443
2025-09-01,0.0328375249929476,0.0353374615739687,0.23058429561279845,0.19524683403882975
2025-09-08,0.0750438311217277,0.037083177521204,0.14932686864357606,0.11224369112237206
2025-09-15,0.244150207322864,0.0408302409621366,0.10285499433615525,0.062024753374018644
2025-09-22,0.0353374615739687,-0.0316621893348032,0.10536221530802978,0.13702440464283297
2025-09-29,0.037083177521204,0.167412720914919,0.09802118639379843,-0.06939153452112055
2025-10-06,0.0408302409621366,0.134823580717908,0.09055580786530969,-0.04426777285259832
2025-10-13,-0.0316621893348032,0.170657905569605,0.09834011771008574,-0.07231778785951926
2025-10-20,0.167412720914919,0.0692562741764684,0.08479523302051876,0.015538958844050363
2025-10-27,0.134823580717908,0.218016998769719,0.09920147860399899,-0.11881552016572001
2025-11-03,0.170657905569605,0.12751595957534,0.122459711979699,-0.0050562475956410086
2025-11-10,0.0692562741764684,0.279605962079427,0.1384161062617639,-0.1411898558176631
2025-11-17,0.218016998769719,0.0821158156091689,0.13553671293475117,0.053420897325582264
2025-11-24,0.12751595957534,0.303813076524669,0.1371840286251964,-0.16662904789947258
2025-12-01,0.279605962079427,0.0677012815654136,0.19137604125309393,0.12367475968768032
2025-12-08,0.0821158156091689,0.583621878201202,0.14530045222873364,-0.43832142597246837
2025-12-15,0.303813076524669,0.108341978085893,0.17730411643801713,0.06896213835212413
2025-12-22,0.0677012815654136,0.0687870202028637,0.14104681304240393,0.07225979283954023
2025-12-29,0.583621878201202,0.245426229585526,0.11856899412725036,-0.12685723545827565
2026-01-05,0.108341978085893,0.320565191490885,0.1457628615160083,-0.1748023299748767
2026-01-12,0.0687870202028637,0.170007405822799,0.16791610959083847,-0.0020912962319605266
2026-01-19,0.245426229585526,-0.0198367240853288,0.18965088120768178,0.20948760529301058
2026-01-26,0.320565191490885,0.0960196886446368,0.15564106052281493,0.059621371878178134
2026-02-02,0.170007405822799,0.27725068164164,0.16764300067051277,-0.10960768097112725
2026-02-09,-0.0198367240853288,0.210058588277401,0.16799799171413943,-0.04206059656326158
