query_index,query,status,videos_found,videos_with_comments,comments_extracted,video_errors,query_errors,duration_seconds
1,presidenta municipal de Tampico,success,2,2,90,0,0,1.9
2,Presidenta municipal de Tampico,success,2,2,90,0,0,1.678
3,Gobierno de Tampico,success,32,14,1243,0,0,23.737
4,gobierno de Tampico,success,32,14,1243,0,0,22.673
