video_id,comment_id,author,comment_text,published_at,like_count,query,video_title,channel_title,video_published_at,fecha_extraccion,run_id,week_name,source_platform,comment_level,video_url,query_index
U-VsGYIenNs,UgwAohLvIWFlcEVSUwJ4AaABAg,@VictorVillalobos-u3q,COMO ME DA GUSTO VER QUE SE RETUERSAN DE COLERA Y ENVIDIA  POR EL CARIÑO QUE LE TIENE LA GENTE A SHEINBAUM.. ESO NO SE COMPRA CON NADA .JEJEJEJE..POBRESITOS NO LO SOPORTAN LES VA A SER DAÑO..POR QUE ESO TARDE O TEMPRANO TRAE CONSECUENCIAS..  JEJEJEJE,2026-03-15T16:45:02Z,0,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,UgxVYuca550garBryr94AaABAg,@nosgothkain7097,"Que notición gracias YouTube por avisarme 😮como con tres videos , no imaginaba la seriedad de la situación 😢",2026-03-15T16:35:04Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,Ugy_wt4YRFxqKDAHo1l4AaABAg,@cabs85,Es que no estaban hablando de García Luna,2026-03-15T16:34:28Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,UgzuJYsA5eSpZ9LMEBV4AaABAg,@patriciallorens4563,"Baños de pueblo, muy bien coordinados,  el verdadero &quot;pueblo bueno&quot; que se joda",2026-03-15T16:27:25Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,UgzzA8deiB9cG7wZW5x4AaABAg,@rafaelox9052,Es inocente el q crea q fue un incidente. A todas luces fue un complo de Calderón.😅,2026-03-15T16:24:12Z,3,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,UgzgahoHXVJ5eoJu_ER4AaABAg,@reymelchor931,📢🗡EL PLAN B ES LA (TRAICIÓN )E UN PUÑAL EN LA ESPALDA DE LA DEMOCRACIA MEXICANA POR PARTE DE LA HIJA DEL FUNDADOR DEL PARTIDO COMUNISTA🦎🗡🗡🗡🗡🗡🗡🗡🗡🗡🗡🐍🦎🐍🐍🐍🐍🐍,2026-03-15T16:15:20Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,UgxXqtGv4ZIheoh1fMZ4AaABAg,@damarisenamorada6642,Cómo está de su ojito por favor atiendan a la Presidenta . Y la ayudantía a la gente que lo pide,2026-03-15T16:14:16Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,UgwmgRk4gExqK46zadB4AaABAg,@susanavalenzuela9533,"&quot;Le salpico de saliva en el ojo, esa señora del vulgo&quot;. que se abra una carpeta de investigación.",2026-03-15T16:12:37Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,Ugxs1O_Q_SvmENiA6kV4AaABAg,@eduardozuniga6581,Debemos saber que los USA son los que más han robado a MÉXICO.,2026-03-15T16:12:19Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
U-VsGYIenNs,Ugx7jPuTO0568bYqpDV4AaABAg,@marinazepeda3735,Por favor HERMANOS  CUIDADO CON NUESTRA PRESIDENTA.,2026-03-15T15:56:04Z,1,presidenta municipal de Tampico,La presidenta Sheinbaum sufrió un inocente durante su gira por Nayarit #shorts #short,Político MX,2026-03-15T06:25:22Z,2026-04-05T11:39:59,yt_w11_rerun,2026-03-09_semana_09marzo_15marzo_26,youtube,top_level,https://www.youtube.com/watch?v=U-VsGYIenNs,1
