run_timestamp,week_dir,prefix,media_type,n_files_detected,input_files,output_path,status,extracted_count,unique_count,missing_flag,error_message,notes
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-22_semana_22diciembre_28diciembre_25,2025-12-22,youtube,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-22_semana_22diciembre_28diciembre_25/2025-12-22_semana_22diciembre_28diciembre_25_youtube.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/youtube_semana_texto/2025-12-22_youtube.txt,ok,2860,1381,False,,output_md5=965910e66edc323c62cd33625bda639b size=144633
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-22_semana_22diciembre_28diciembre_25,2025-12-22,medios,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-22_semana_22diciembre_28diciembre_25/2025-12-22_semana_22diciembre_28diciembre_25_medios.txt,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/medios_semana_texto/2025-12-22_medios.txt,ok,,,False,,output_md5=54031b536423823ccc4c566b9f5ddced size=265858
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26,2025-12-29,facebook,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26/2025-12-29_semana_29diciembre_04enero_26_facebook.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/facebook_semana_texto/2025-12-29_facebook.txt,ok,427,353,False,,output_md5=948989c40f282865e8781862c14beb6c size=24208
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26,2025-12-29,twitter,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26/2025-12-29_semana_29diciembre_04enero_26_twitter.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/twitter_semana_texto/2025-12-29_twitter.txt,ok,88,87,False,,output_md5=93d80eae21e7eab57a599d09264066e2 size=12041
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26,2025-12-29,youtube,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26/2025-12-29_semana_29diciembre_04enero_26_youtube.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/youtube_semana_texto/2025-12-29_youtube.txt,ok,8784,4043,False,,output_md5=b80fca3c0b85db285ad6bdc56a58be1b size=465786
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26,2025-12-29,medios,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2025-12-29_semana_29diciembre_04enero_26/2025-12-29_semana_29diciembre_04enero_26_medios.txt,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/medios_semana_texto/2025-12-29_medios.txt,ok,,,False,,output_md5=cb10473366955dc7c5871892c964aa71 size=392477
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26,2026-01-05,facebook,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26/2026-01-05_semana_05enero_11enero_26_facebook.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/facebook_semana_texto/2026-01-05_facebook.txt,ok,345,296,False,,output_md5=2cd147055d0cc6749afbc2b3e8ad2105 size=25271
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26,2026-01-05,twitter,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26/2026-01-05_semana_05enero_11enero_26_twitter.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/twitter_semana_texto/2026-01-05_twitter.txt,ok,3,3,False,,output_md5=6c7c514d786a1b4b59c23e0b6a89abc6 size=699
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26,2026-01-05,youtube,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26/2026-01-05_semana_05enero_11enero_26_youtube.csv,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/youtube_semana_texto/2026-01-05_youtube.txt,ok,2472,1188,False,,output_md5=278cc4331a01bade38164686872d8b07 size=136930
2026-05-04T15:10:38.473707+00:00,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26,2026-01-05,medios,1,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/raw/radar_weekly_flat/2026-01-05_semana_05enero_11enero_26/2026-01-05_semana_05enero_11enero_26_medios.txt,/home/emilio/Documentos/RAdAR_worktrees/restructuracion_arquitectonica/data/text/radar_weekly_flat/medios_semana_texto/2026-01-05_medios.txt,ok,,,False,,output_md5=21558fe739f625c1fec298a690d79169 size=364543
