horizonte_sem,outer_fold_index,column_name,non_null_train_count,nunique_train_non_null
2,1,cobertura_modelos_fila,12,2
2,1,consenso_direccion,12,2
2,1,desacuerdo_direccion,12,2
2,1,desviacion_predicciones,12,11
2,1,dispersion_direccion,12,3
2,1,max_diff_predicciones,12,11
2,1,max_predicciones,12,12
2,1,mediana_predicciones,12,12
2,1,min_predicciones,12,12
2,1,n_direcciones_distintas,12,2
2,1,n_modelos_disponibles,12,2
2,1,numero_modelos_predicen_caida,12,6
2,1,promedio_predicciones,12,12
2,1,rango_predicciones,12,11
2,1,share_modelos_predicen_caida,12,6
2,1,ctx_abs_delta_1w,12,12
2,1,ctx_delta_1w,12,12
2,1,ctx_delta_2w,12,12
2,1,ctx_mean_delta_4w,12,12
2,1,ctx_negative_delta_ratio_4w,12,2
2,1,ctx_positive_delta_ratio_4w,12,2
2,1,ctx_recent_fall_flag,12,2
2,1,ctx_rolling_mean_4w,12,12
2,1,ctx_rolling_std_4w,12,12
2,1,ctx_sentimiento_medios,12,12
2,1,ctx_trend_vs_ma4,12,12
2,1,ctx_v5_dispersion_neta,12,12
2,1,ctx_v5_promedio_neto,12,12
2,1,ctx_y_lag1,12,12
2,1,ctx_y_lag2,12,12
2,1,ctx_y_lag4,12,12
2,1,hist_abs_error_mean4_E1_v5_clean,9,9
2,1,hist_abs_error_mean4_E2_v3_clean,11,11
2,1,hist_abs_error_mean4_E3_v2_clean,9,9
2,1,hist_abs_error_mean4_E5_v4_clean,9,9
2,1,hist_abs_error_mean4_E7_v3_clean,9,9
2,1,hist_caida_hit_mean4_E1_v5_clean,8,4
2,1,hist_caida_hit_mean4_E2_v3_clean,11,2
2,1,hist_caida_hit_mean4_E3_v2_clean,8,4
2,1,hist_caida_hit_mean4_E5_v4_clean,8,4
2,1,hist_caida_hit_mean4_E7_v3_clean,8,4
2,1,hist_dir_acc_mean4_E1_v5_clean,9,4
2,1,hist_dir_acc_mean4_E2_v3_clean,11,4
2,1,hist_dir_acc_mean4_E3_v2_clean,9,4
2,1,hist_dir_acc_mean4_E5_v4_clean,9,4
2,1,hist_dir_acc_mean4_E7_v3_clean,9,5
2,1,hist_loss_local_mean4_E1_v5_clean,9,9
2,1,hist_loss_local_mean4_E2_v3_clean,11,11
2,1,hist_loss_local_mean4_E3_v2_clean,9,9
2,1,hist_loss_local_mean4_E5_v4_clean,9,9
2,1,hist_loss_local_mean4_E7_v3_clean,9,9
2,1,y_current,12,12
2,1,caida_pred_E1_v5_clean,10,2
2,1,caida_pred_E2_v3_clean,12,2
2,1,caida_pred_E3_v2_clean,10,2
2,1,caida_pred_E5_v4_clean,10,2
2,1,caida_pred_E7_v3_clean,10,2
2,1,direccion_pred_E1_v5_clean,10,2
2,1,direccion_pred_E2_v3_clean,12,2
2,1,direccion_pred_E3_v2_clean,10,2
2,1,direccion_pred_E5_v4_clean,10,2
2,1,direccion_pred_E7_v3_clean,10,2
2,1,pred_E1_v5_clean,10,10
2,1,pred_E2_v3_clean,12,12
2,1,pred_E3_v2_clean,10,10
2,1,pred_E5_v4_clean,10,10
2,1,pred_E7_v3_clean,10,10
2,1,pred_disponible_E1_v5_clean,12,2
2,1,pred_disponible_E3_v2_clean,12,2
2,1,pred_disponible_E5_v4_clean,12,2
2,1,pred_disponible_E7_v3_clean,12,2
2,2,cobertura_modelos_fila,13,2
2,2,consenso_direccion,13,2
2,2,desacuerdo_direccion,13,2
2,2,desviacion_predicciones,13,12
2,2,dispersion_direccion,13,3
2,2,max_diff_predicciones,13,12
2,2,max_predicciones,13,13
2,2,mediana_predicciones,13,13
2,2,min_predicciones,13,13
2,2,n_direcciones_distintas,13,2
2,2,n_modelos_disponibles,13,2
2,2,numero_modelos_predicen_caida,13,6
2,2,promedio_predicciones,13,13
2,2,rango_predicciones,13,12
2,2,share_modelos_predicen_caida,13,6
2,2,ctx_abs_delta_1w,13,13
2,2,ctx_delta_1w,13,13
2,2,ctx_delta_2w,13,13
2,2,ctx_mean_delta_4w,13,13
2,2,ctx_negative_delta_ratio_4w,13,2
2,2,ctx_positive_delta_ratio_4w,13,2
2,2,ctx_recent_fall_flag,13,2
2,2,ctx_rolling_mean_4w,13,13
2,2,ctx_rolling_std_4w,13,13
2,2,ctx_sentimiento_medios,13,13
2,2,ctx_trend_vs_ma4,13,13
2,2,ctx_v5_dispersion_neta,13,13
2,2,ctx_v5_promedio_neto,13,13
2,2,ctx_y_lag1,13,13
2,2,ctx_y_lag2,13,13
2,2,ctx_y_lag4,13,13
2,2,hist_abs_error_mean4_E1_v5_clean,10,10
2,2,hist_abs_error_mean4_E2_v3_clean,12,12
2,2,hist_abs_error_mean4_E3_v2_clean,10,10
2,2,hist_abs_error_mean4_E5_v4_clean,10,10
2,2,hist_abs_error_mean4_E7_v3_clean,10,10
2,2,hist_caida_hit_mean4_E1_v5_clean,9,4
2,2,hist_caida_hit_mean4_E2_v3_clean,12,2
2,2,hist_caida_hit_mean4_E3_v2_clean,9,4
2,2,hist_caida_hit_mean4_E5_v4_clean,9,4
2,2,hist_caida_hit_mean4_E7_v3_clean,9,4
2,2,hist_dir_acc_mean4_E1_v5_clean,10,4
2,2,hist_dir_acc_mean4_E2_v3_clean,12,4
2,2,hist_dir_acc_mean4_E3_v2_clean,10,4
2,2,hist_dir_acc_mean4_E5_v4_clean,10,4
2,2,hist_dir_acc_mean4_E7_v3_clean,10,5
2,2,hist_loss_local_mean4_E1_v5_clean,10,10
2,2,hist_loss_local_mean4_E2_v3_clean,12,12
2,2,hist_loss_local_mean4_E3_v2_clean,10,10
2,2,hist_loss_local_mean4_E5_v4_clean,10,10
2,2,hist_loss_local_mean4_E7_v3_clean,10,10
2,2,y_current,13,13
2,2,caida_pred_E1_v5_clean,11,2
2,2,caida_pred_E2_v3_clean,13,2
2,2,caida_pred_E3_v2_clean,11,2
2,2,caida_pred_E5_v4_clean,11,2
2,2,caida_pred_E7_v3_clean,11,2
2,2,direccion_pred_E1_v5_clean,11,2
2,2,direccion_pred_E2_v3_clean,13,2
2,2,direccion_pred_E3_v2_clean,11,2
2,2,direccion_pred_E5_v4_clean,11,2
2,2,direccion_pred_E7_v3_clean,11,2
2,2,pred_E1_v5_clean,11,11
2,2,pred_E2_v3_clean,13,13
2,2,pred_E3_v2_clean,11,11
2,2,pred_E5_v4_clean,11,11
2,2,pred_E7_v3_clean,11,11
2,2,pred_disponible_E1_v5_clean,13,2
2,2,pred_disponible_E3_v2_clean,13,2
2,2,pred_disponible_E5_v4_clean,13,2
2,2,pred_disponible_E7_v3_clean,13,2
2,3,cobertura_modelos_fila,14,2
2,3,consenso_direccion,14,2
2,3,desacuerdo_direccion,14,2
2,3,desviacion_predicciones,14,13
2,3,dispersion_direccion,14,3
2,3,max_diff_predicciones,14,13
2,3,max_predicciones,14,14
2,3,mediana_predicciones,14,14
2,3,min_predicciones,14,14
2,3,n_direcciones_distintas,14,2
2,3,n_modelos_disponibles,14,2
2,3,numero_modelos_predicen_caida,14,6
2,3,promedio_predicciones,14,14
2,3,rango_predicciones,14,13
2,3,share_modelos_predicen_caida,14,6
2,3,ctx_abs_delta_1w,14,14
2,3,ctx_delta_1w,14,14
2,3,ctx_delta_2w,14,14
2,3,ctx_mean_delta_4w,14,14
2,3,ctx_negative_delta_ratio_4w,14,2
2,3,ctx_positive_delta_ratio_4w,14,2
2,3,ctx_recent_fall_flag,14,2
2,3,ctx_rolling_mean_4w,14,14
2,3,ctx_rolling_std_4w,14,14
2,3,ctx_sentimiento_medios,14,14
2,3,ctx_trend_vs_ma4,14,14
2,3,ctx_v5_dispersion_neta,14,14
2,3,ctx_v5_promedio_neto,14,14
2,3,ctx_y_lag1,14,14
2,3,ctx_y_lag2,14,14
2,3,ctx_y_lag4,14,14
2,3,hist_abs_error_mean4_E1_v5_clean,11,11
2,3,hist_abs_error_mean4_E2_v3_clean,13,13
2,3,hist_abs_error_mean4_E3_v2_clean,11,11
2,3,hist_abs_error_mean4_E5_v4_clean,11,11
2,3,hist_abs_error_mean4_E7_v3_clean,11,11
2,3,hist_caida_hit_mean4_E1_v5_clean,10,4
2,3,hist_caida_hit_mean4_E2_v3_clean,13,2
2,3,hist_caida_hit_mean4_E3_v2_clean,10,4
2,3,hist_caida_hit_mean4_E5_v4_clean,10,4
2,3,hist_caida_hit_mean4_E7_v3_clean,10,4
2,3,hist_dir_acc_mean4_E1_v5_clean,11,4
2,3,hist_dir_acc_mean4_E2_v3_clean,13,4
2,3,hist_dir_acc_mean4_E3_v2_clean,11,4
2,3,hist_dir_acc_mean4_E5_v4_clean,11,4
2,3,hist_dir_acc_mean4_E7_v3_clean,11,5
2,3,hist_loss_local_mean4_E1_v5_clean,11,11
2,3,hist_loss_local_mean4_E2_v3_clean,13,13
2,3,hist_loss_local_mean4_E3_v2_clean,11,11
2,3,hist_loss_local_mean4_E5_v4_clean,11,11
2,3,hist_loss_local_mean4_E7_v3_clean,11,11
2,3,y_current,14,14
2,3,caida_pred_E1_v5_clean,12,2
2,3,caida_pred_E2_v3_clean,14,2
2,3,caida_pred_E3_v2_clean,12,2
2,3,caida_pred_E5_v4_clean,12,2
2,3,caida_pred_E7_v3_clean,12,2
2,3,direccion_pred_E1_v5_clean,12,2
2,3,direccion_pred_E2_v3_clean,14,2
2,3,direccion_pred_E3_v2_clean,12,2
2,3,direccion_pred_E5_v4_clean,12,2
2,3,direccion_pred_E7_v3_clean,12,2
2,3,pred_E1_v5_clean,12,12
2,3,pred_E2_v3_clean,14,14
2,3,pred_E3_v2_clean,12,12
2,3,pred_E5_v4_clean,12,12
2,3,pred_E7_v3_clean,12,12
2,3,pred_disponible_E1_v5_clean,14,2
2,3,pred_disponible_E3_v2_clean,14,2
2,3,pred_disponible_E5_v4_clean,14,2
2,3,pred_disponible_E7_v3_clean,14,2
2,4,cobertura_modelos_fila,15,3
2,4,consenso_direccion,15,2
2,4,desacuerdo_direccion,15,2
2,4,desviacion_predicciones,15,14
2,4,dispersion_direccion,15,4
2,4,fila_completa_modelos_incluidos,15,2
2,4,max_diff_predicciones,15,14
2,4,max_predicciones,15,15
2,4,mediana_predicciones,15,15
2,4,min_predicciones,15,15
2,4,n_direcciones_distintas,15,2
2,4,n_modelos_disponibles,15,3
2,4,numero_modelos_predicen_caida,15,6
2,4,promedio_predicciones,15,15
2,4,rango_predicciones,15,14
2,4,share_modelos_predicen_caida,15,7
2,4,ctx_abs_delta_1w,15,15
2,4,ctx_delta_1w,15,15
2,4,ctx_delta_2w,15,15
2,4,ctx_mean_delta_4w,15,15
2,4,ctx_negative_delta_ratio_4w,15,2
2,4,ctx_positive_delta_ratio_4w,15,2
2,4,ctx_recent_fall_flag,15,2
2,4,ctx_rolling_mean_4w,15,15
2,4,ctx_rolling_std_4w,15,15
2,4,ctx_sentimiento_medios,15,15
2,4,ctx_trend_vs_ma4,15,15
2,4,ctx_v5_dispersion_neta,15,15
2,4,ctx_v5_promedio_neto,15,15
2,4,ctx_y_lag1,15,15
2,4,ctx_y_lag2,15,15
2,4,ctx_y_lag4,15,15
2,4,hist_abs_error_mean4_E1_v5_clean,12,12
2,4,hist_abs_error_mean4_E2_v3_clean,14,14
2,4,hist_abs_error_mean4_E3_v2_clean,12,12
2,4,hist_abs_error_mean4_E5_v4_clean,12,12
2,4,hist_abs_error_mean4_E7_v3_clean,12,12
2,4,hist_caida_hit_mean4_E1_v5_clean,11,4
2,4,hist_caida_hit_mean4_E2_v3_clean,14,2
2,4,hist_caida_hit_mean4_E3_v2_clean,11,4
2,4,hist_caida_hit_mean4_E5_v4_clean,11,4
2,4,hist_caida_hit_mean4_E7_v3_clean,11,4
2,4,hist_dir_acc_mean4_E1_v5_clean,12,4
2,4,hist_dir_acc_mean4_E2_v3_clean,14,4
2,4,hist_dir_acc_mean4_E3_v2_clean,12,4
2,4,hist_dir_acc_mean4_E5_v4_clean,12,4
2,4,hist_dir_acc_mean4_E7_v3_clean,12,5
2,4,hist_loss_local_mean4_E1_v5_clean,12,12
2,4,hist_loss_local_mean4_E2_v3_clean,14,14
2,4,hist_loss_local_mean4_E3_v2_clean,12,12
2,4,hist_loss_local_mean4_E5_v4_clean,12,12
2,4,hist_loss_local_mean4_E7_v3_clean,12,12
