mae,rmse,r2,best_alpha,best_l1_ratio,n_train,n_test,n_features,horizon,dataset,target_col
0.7885642094375314,1.0167967513372498,0.3295113415314117,0.1,0.8,64,8,70,1,forecast_1w,target_serie_4e_lead1
1.0004702394162894,1.274423631716821,-0.05329680807854631,5.0,0.05,63,8,70,2,forecast_2w,target_serie_4e_lead2
1.0859048764466381,1.335765244446574,-0.1571333605288785,1.0,0.05,62,8,70,3,forecast_3w,target_serie_4e_lead3
1.166008423086863,1.377032112602706,-0.22973425980855633,1.0,0.05,61,8,70,4,forecast_4w,target_serie_4e_lead4
