query_index,query,medio,termino,article_title,article_url_resolved,source_domain,status_descarga,extraction_method,article_text_length,cache_hit_article,playwright_used,fallback_used,attempted_methods,error_type,error_detail
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""","¡Sur de Tamaulipas listo para Semana Santa 2026! Tampico, Ciudad Madero y Altamira van por un millón de turistas - oem.com.mx",https://oem.com.mx/elsoldetampico/turismo/sur-de-tamaulipas-listo-para-semana-santa-2026-tampico-ciudad-madero-y-altamira-van-por-un-millon-de-turistas-29017367,oem.com.mx,downloaded_ok,trafilatura,1435,False,False,False,trafilatura,,
1,"""Monica Villarreal"" site:oem.com.mx",site:oem.com.mx,"""Monica Villarreal""","Pemex tendrá Comisión Consultiva del Petróleo, será encabezada por Cuauhtémoc Cárdenas: Sheinbaum - oem.com.mx",https://oem.com.mx/elsoldetampico/mexico/claudia-sheinbaum-celebra-la-expropiacion-petrolera-inauguran-plataforma-en-panuco-veracruz-29033677,oem.com.mx,downloaded_ok,trafilatura,3367,False,False,False,trafilatura,,
2,"""gobierno de tampico"" site:oem.com.mx",site:oem.com.mx,"""gobierno de tampico""",Tampico se reinventa: lanza 10 rutas turísticas para conquistar visitantes - oem.com.mx,https://oem.com.mx/elsoldetampico/turismo/tampico-se-reinventa-lanza-10-rutas-turisticas-para-conquistar-visitantes-29099633,oem.com.mx,downloaded_ok,trafilatura,743,False,False,False,trafilatura,,
2,"""gobierno de tampico"" site:oem.com.mx",site:oem.com.mx,"""gobierno de tampico""","Si vas por la avenida Hidalgo, ojo, habrá cierre parcial este viernes en Tampico - oem.com.mx",https://oem.com.mx/elsoldetampico/local/si-vas-por-la-avenida-hidalgo-ojo-habra-cierre-parcial-este-viernes-en-tampico-29063664,oem.com.mx,downloaded_ok,trafilatura,489,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""","Los cuidadores - El Sol de Tampico | Noticias Locales, Policiacas, sobre México, Tamaulipas y el Mundo - oem.com.mx",https://oem.com.mx/elsoldetampico/analisis/los-cuidadores-29102068,oem.com.mx,downloaded_ok,trafilatura,419,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Ruta del Sabor: cómo llegar desde el centro de Tampico a los restaurantes de La Ribera - oem.com.mx,https://oem.com.mx/elsoldetampico/turismo/ruta-del-sabor-como-llegar-desde-el-centro-de-tampico-a-los-restaurantes-de-la-ribera-29077303,oem.com.mx,downloaded_ok,trafilatura,1267,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Liberándose del alcohol / El dominio de sí mismo - oem.com.mx,https://oem.com.mx/elsoldetampico/analisis/el-dominio-de-si-mismo-29102166,oem.com.mx,downloaded_ok,trafilatura,570,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",En Altamira abren convocatoria de personal de enfermería para laborar en Alemania: conoce los requisitos - oem.com.mx,https://oem.com.mx/elsoldetampico/local/en-altamira-abren-convocatoria-de-personal-de-enfermeria-para-laborar-en-alemania-conoce-los-requisitos-29077436,oem.com.mx,downloaded_ok,trafilatura,1200,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Flores amarillas: el detalle romántico que puede costar hasta 5 mil pesos en Tampico - oem.com.mx,https://oem.com.mx/elsoldetampico/local/flores-amarillas-el-detalle-romantico-que-puede-costar-hasta-5-mil-pesos-en-tampico-29097799,oem.com.mx,downloaded_ok,trafilatura,1580,False,False,False,trafilatura,,
3,"""tampico"" site:oem.com.mx",site:oem.com.mx,"""tampico""",Añoranzas / Benemérito de las Américas - oem.com.mx,https://oem.com.mx/elsoldetampico/analisis/benemerito-de-las-americas-29101178,oem.com.mx,downloaded_ok,trafilatura,816,False,False,False,trafilatura,,
