fecha_inicio_semana,proba_cae,proba_no_cae
2025-09-01,0.003214928402020867,0.9967850715979791
2025-09-08,0.01387808838923743,0.9861219116107626
2025-09-15,0.9957417528682205,0.00425824713177947
2025-09-22,0.9665175209507406,0.033482479049259405
2025-09-29,0.7888068396155596,0.21119316038444036
2025-10-06,0.044520418412747786,0.9554795815872522
2025-10-13,0.8649856956939865,0.1350143043060135
2025-10-20,0.9052283524861523,0.09477164751384771
2025-10-27,0.9250806840329728,0.07491931596702717
2025-11-03,0.1666030437458479,0.8333969562541521
2025-11-10,0.07375561444971757,0.9262443855502824
2025-11-17,0.9482621381856241,0.051737861814375896
2025-11-24,0.7409636581583758,0.25903634184162416
2025-12-01,0.9031246836590576,0.09687531634094239
2025-12-08,0.14996196431991715,0.8500380356800828
2025-12-15,0.9274098315757271,0.07259016842427293
2025-12-22,0.9983163147957966,0.0016836852042033741
2025-12-29,0.9796510906308986,0.020348909369101387
2026-01-05,0.9950907250278231,0.0049092749721768095
2026-01-12,0.046302986548172,0.953697013451828
2026-01-19,0.09251737611957578,0.9074826238804242
2026-01-26,0.9127350749946204,0.08726492500537965
2026-02-02,0.991299692354339,0.008700307645660942
2026-02-09,0.30950333082169956,0.6904966691783004
