horizonte_sem,outer_fold_index,column_name,reason,non_null_train_count,nunique_train_non_null
2,1,fila_completa_modelos_incluidos,zero_variance_in_train,12,1
2,1,ctx_semana_iso,all_nan_in_train,0,0
2,1,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
2,1,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
2,1,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
2,1,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
2,1,caida_pred_E9_v2_clean,all_nan_in_train,0,0
2,1,direccion_pred_E9_v2_clean,all_nan_in_train,0,0
2,1,pred_E9_v2_clean,all_nan_in_train,0,0
2,1,pred_disponible_E2_v3_clean,zero_variance_in_train,12,1
2,1,pred_disponible_E9_v2_clean,zero_variance_in_train,12,1
2,2,fila_completa_modelos_incluidos,zero_variance_in_train,13,1
2,2,ctx_semana_iso,all_nan_in_train,0,0
2,2,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
2,2,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
2,2,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
2,2,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
2,2,caida_pred_E9_v2_clean,all_nan_in_train,0,0
2,2,direccion_pred_E9_v2_clean,all_nan_in_train,0,0
2,2,pred_E9_v2_clean,all_nan_in_train,0,0
2,2,pred_disponible_E2_v3_clean,zero_variance_in_train,13,1
2,2,pred_disponible_E9_v2_clean,zero_variance_in_train,13,1
2,3,fila_completa_modelos_incluidos,zero_variance_in_train,14,1
2,3,ctx_semana_iso,all_nan_in_train,0,0
2,3,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
2,3,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
2,3,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
2,3,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
2,3,caida_pred_E9_v2_clean,all_nan_in_train,0,0
2,3,direccion_pred_E9_v2_clean,all_nan_in_train,0,0
2,3,pred_E9_v2_clean,all_nan_in_train,0,0
2,3,pred_disponible_E2_v3_clean,zero_variance_in_train,14,1
2,3,pred_disponible_E9_v2_clean,zero_variance_in_train,14,1
2,4,ctx_semana_iso,all_nan_in_train,0,0
2,4,hist_abs_error_mean4_E9_v2_clean,all_nan_in_train,0,0
2,4,hist_caida_hit_mean4_E9_v2_clean,all_nan_in_train,0,0
2,4,hist_dir_acc_mean4_E9_v2_clean,all_nan_in_train,0,0
2,4,hist_loss_local_mean4_E9_v2_clean,all_nan_in_train,0,0
2,4,caida_pred_E9_v2_clean,zero_variance_in_train,1,1
2,4,direccion_pred_E9_v2_clean,zero_variance_in_train,1,1
2,4,pred_E9_v2_clean,zero_variance_in_train,1,1
2,4,pred_disponible_E2_v3_clean,zero_variance_in_train,15,1
2,5,ctx_semana_iso,all_nan_in_train,0,0
2,5,hist_abs_error_mean4_E9_v2_clean,zero_variance_in_train,1,1
2,5,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,1,1
2,5,hist_dir_acc_mean4_E9_v2_clean,zero_variance_in_train,1,1
2,5,hist_loss_local_mean4_E9_v2_clean,zero_variance_in_train,1,1
2,5,caida_pred_E9_v2_clean,zero_variance_in_train,2,1
2,5,direccion_pred_E9_v2_clean,zero_variance_in_train,2,1
2,5,pred_disponible_E2_v3_clean,zero_variance_in_train,16,1
2,6,ctx_semana_iso,all_nan_in_train,0,0
2,6,hist_caida_hit_mean4_E9_v2_clean,zero_variance_in_train,2,1
2,6,pred_disponible_E2_v3_clean,zero_variance_in_train,17,1
2,7,ctx_semana_iso,all_nan_in_train,0,0
2,7,pred_disponible_E2_v3_clean,zero_variance_in_train,18,1
2,8,ctx_semana_iso,all_nan_in_train,0,0
2,8,pred_disponible_E2_v3_clean,zero_variance_in_train,19,1
2,9,ctx_semana_iso,all_nan_in_train,0,0
2,9,pred_disponible_E2_v3_clean,zero_variance_in_train,20,1
2,10,ctx_semana_iso,all_nan_in_train,0,0
2,10,pred_disponible_E2_v3_clean,zero_variance_in_train,21,1
2,11,ctx_semana_iso,all_nan_in_train,0,0
2,11,pred_disponible_E2_v3_clean,zero_variance_in_train,22,1
2,12,ctx_semana_iso,all_nan_in_train,0,0
2,12,pred_disponible_E2_v3_clean,zero_variance_in_train,23,1
2,13,ctx_semana_iso,all_nan_in_train,0,0
2,13,pred_disponible_E2_v3_clean,zero_variance_in_train,24,1
2,14,ctx_semana_iso,all_nan_in_train,0,0
2,14,pred_disponible_E2_v3_clean,zero_variance_in_train,25,1
2,15,ctx_semana_iso,all_nan_in_train,0,0
2,15,pred_disponible_E2_v3_clean,zero_variance_in_train,26,1
