source,week_name,iso_token,input_folder,output_folder,source_csv_path,generated_txt_name,generated_txt_path,text_columns_used,csv_rows_read,useful_rows,empty_rows_discarded,duplicates_removed,total_words_final,total_lines_txt,words_per_line,canonical_csv_criteria,status,warning_messages,error_message,record_types_included
facebook,2026-03-09_semana_09marzo_15marzo_26,26_11,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-09_semana_09marzo_15marzo_26,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-09_semana_09marzo_15marzo_26/facebook_institutional_raw_2026-03-09_semana_09marzo_15marzo_26.csv,26_11_facebook.txt,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto/26_11_facebook.txt,text,81,73,8,9,1202,41,30,exact_weekly_canonical_filename,success_dry_run,El TXT destino ya existe y en archive se mantendría intacto.,,comment|post_parent
facebook,2026-03-16_semana_16marzo_22marzo_26,26_12,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-16_semana_16marzo_22marzo_26,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-16_semana_16marzo_22marzo_26/facebook_institutional_raw_2026-03-16_semana_16marzo_22marzo_26.csv,26_12_facebook.txt,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto/26_12_facebook.txt,text,86,79,7,7,1543,52,30,exact_weekly_canonical_filename,success_dry_run,El TXT destino ya existe y en archive se mantendría intacto.,,comment|post_parent
facebook,2026-03-23_semana_23marzo_29marzo_26,26_13,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-23_semana_23marzo_29marzo_26,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-23_semana_23marzo_29marzo_26/facebook_institutional_raw_2026-03-23_semana_23marzo_29marzo_26.csv,26_13_facebook.txt,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto/26_13_facebook.txt,text,86,75,11,12,1069,36,30,exact_weekly_canonical_filename,success_dry_run,El TXT destino ya existe y en archive se mantendría intacto.,,comment|post_parent
facebook,2026-03-30_semana_30marzo_05abril_26,26_14,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-30_semana_30marzo_05abril_26,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto,/home/emilio/Documentos/RAdAR/Datos_RAdAR/Facebook/2026-03-30_semana_30marzo_05abril_26/facebook_institutional_raw_2026-03-30_semana_30marzo_05abril_26.csv,26_14_facebook.txt,/home/emilio/Documentos/RAdAR/Datos_RadaR_Texto/Facebook_Semana_Texto/26_14_facebook.txt,text,104,100,4,8,1633,55,30,exact_weekly_canonical_filename,success_dry_run,El TXT destino ya existe y en archive se mantendría intacto.,,comment|post_parent
