fecha_inicio_semana,fecha_referencia,horizonte_sem,y_current,y_true,prediccion_numerica_oficial,delta_real,delta_predicho,direction_real,direction_predicha,direction_correcta,modelo_oficial_numerico,run_id_origen,run_dir_origen,direction_predicha_direction,direction_correcta_direction,run_id_direction_oficial,politica_direccional,caida_real,alerta_caida_predicha,deteccion_caida_correcta,run_id_alerta_caida_oficial,disponible_prediccion_numerica,disponible_direction_accuracy,disponible_alerta_caida
2025-09-01,2025-09-01,1,0.0328375249929476,0.0750438311217277,0.0989957906366822,0.042206306128780104,0.06615826564373459,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-09-08,2025-09-08,1,0.0750438311217277,0.244150207322864,0.1200657243762832,0.16910637620113628,0.045021893254555495,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-09-15,2025-09-15,1,0.244150207322864,0.0353374615739687,0.1375469901435297,-0.2088127457488953,-0.1066032171793343,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-09-22,2025-09-22,1,0.0353374615739687,0.037083177521204,0.129116494186562,0.001745715947235299,0.0937790326125933,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-09-29,2025-09-29,1,0.037083177521204,0.0408302409621366,0.1202868592490022,0.003747063440932605,0.08320368172779821,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-10-06,2025-10-06,1,0.0408302409621366,-0.0316621893348032,0.123475168626044,-0.0724924302969398,0.08264492766390741,baja,sube,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-10-13,2025-10-13,1,-0.0316621893348032,0.167412720914919,0.1100164667000174,0.19907491024972218,0.1416786560348206,sube,sube,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-10-20,2025-10-20,1,0.167412720914919,0.134823580717908,0.0980812191745395,-0.03258914019701098,-0.06933150174037948,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-10-27,2025-10-27,1,0.134823580717908,0.170657905569605,0.1209273161753732,0.03583432485169699,-0.013896264542534814,sube,baja,False,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
2025-11-03,2025-11-03,1,0.170657905569605,0.0692562741764684,0.1206514126931,-0.1014016313931366,-0.05000649287650501,baja,baja,True,E1_v5_clean,E1_v5_clean,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449,,,,,,,,,True,False,False
